PAR,Dummy,HT,AMRules,ARF-abs,XT
5.5570298000000005,3.3412014,2.313797,2.3627804,2.3634882,2.603345
1.006785,0.000408,0.0002978,0.0004478,0.0002586,0.0002837999999999
140.4575214,181.5973088,130.9633786,336.0552,112.4342554,114.0016694
226188.3564482,115229.2170942,71177.597545,81330.0498806,63071.4610966,65925.6206042
0.930802,0.0067226,0.0050776,0.0057592,0.004535,0.0034869999999999
65898.3592122,52868.1757146,39948.9884572,57164.9432812,37002.29429219999,35173.0986714
66064.43933719999,52868.1757146,43745.1802336,51024.6551378,40819.750509,42164.640207200006
1999.7059916,1987.2023842000003,2134.4102526,1984.15358,4546.153273999999,1940.802185
39.1908372,41.8119744,24.239024,42.6176664,28.1972644,25.4476592
9.6610224,6.689992200000001,5.078943199999999,6.5118616000000005,5.9005272,4.558766
4.4810582000000005,0.89566,0.8072332000000001,0.8299350000000001,0.740243,0.7712353999999999
7.524304400000001,4.9825866,1.9293066,2.586581,2.3327764,2.1069072
7.6505752,5.6270964,3.8389398,4.3288364,3.8480912,3.8139168
0.7888894,0.0302616,0.0183588,0.0260748,0.0287377999999999,0.0180774
7.815156,5.445477,2.327105,2.914652,2.7213864,2.3674644
7.540963,4.980837,2.274373,2.69005,2.4653632,2.2717482
7.551608,4.994606,2.149988,2.657161,2.50605,2.2928276
7.342996000000001,7.482635,2.289287,2.277641,2.4418372,1.8588244
7.553034999999999,7.483777000000001,2.547918,2.650268,2.896624,2.2477916
44.955283,93.820806,48.785424,47.3933594,45.153527,49.8104746
33.901462,28.266507,15.213242,25.2991204,20.3438494,22.0616624
34.028999,28.270934,15.442793,25.843635,20.4995206,22.308100199999995
