PAR,Dummy,HT,AMRules,ARF-abs,XT
-1.7789368,-0.0045884,0.5182097999999999,0.4974528,0.497295,0.3900698
-6086104.577923001,-0.0006536,0.4672588,-0.2929678,0.5991774,0.4682362
0.4016728,-0.000151,0.4750002,-3.7722008,0.6165726,0.6056344
-2.8548332000000003,-0.0004382,0.6180985999999999,0.5012047999999999,0.700261,0.6725176
-19191.0887694,-0.0009948,0.3714144,0.213687,0.5444244,0.7293832
-0.5542322000000001,-0.0003576,0.4285293999999999,-0.1745624,0.50996,0.5572123999999999
-0.5620764,-0.0003576,0.3150724,0.0678786,0.4036373999999999,0.3636588
-0.0129816,-0.0003498,-0.1547915999999999,0.0027167999999999,-4.2692964,0.0458026
0.1206592,-0.000892,0.6635364,-0.040325,0.5445364,0.629166
-1.0899194,-0.0021374,0.4219562,0.0503039999999999,0.0510158,0.5339351999999999
-24.2869592,-0.0101427999999999,0.179425,0.132626,0.309978,0.251018
-1.2809754000000002,-0.0002145999999999,0.849971,0.7304039999999999,0.7807458,0.8211414000000001
-0.8512803999999999,-0.0014717999999999,0.5337470000000001,0.4072766,0.5315778,0.5398886
-679.3012105999999,-0.0010428,0.6313359999999999,0.2533508,0.097188,0.6423449999999999
-1.059955,-0.000125,0.817352,0.713479,0.7501884000000001,0.8109567999999999
-1.292519,-0.000147,0.791463,0.708271,0.7549664,0.7919430000000001
-1.286335,-0.000146,0.814675,0.716928,0.7481972000000001,0.7892306
0.03694,-3.6e-05,0.906393,0.907343,0.8934692000000002,0.9382846
-0.018631,-3.6e-05,0.884084,0.8745840000000001,0.8501656000000001,0.909781
0.770403,-6e-06,0.729614,0.7448226,0.7683736000000001,0.7181314
-0.438486,-3.0000000000000004e-05,0.710324,0.1989099999999999,0.4819911999999999,0.3908178
-0.448876,-3.0000000000000004e-05,0.70161,0.16432,0.4741954,0.3773229999999999
