HT,AMRules,ARF,OXT
2.0816838,1.9493502,45.4333168,9.2716344
28.8726228,21.5497244,386.0100824,98.3743156
11.1491412,8.810418799999999,201.4161334,60.4837976
16.584992800000002,8.869105000000001,207.4976272,42.9433994
20.8739712,13.8072626,455.6606476,69.8504168
19.3027864,10.6315052,624.718736,74.51148599999999
37.343807600000005,19.522524,860.5932088,107.8742268
24.9968358,14.4167542,1036.9376614,175.5407796
26.2031118,19.8615774,219.8058236,123.8941578
8.9408712,4.3134926,164.0890058,22.9737298
3.4430065999999995,2.8400022,76.0474334,13.1314812
483.7675436,83.13756839999999,4201.536806599999,814.1928108
5.7499082,3.7260606,178.0390022,20.855063
21.394632,12.2763498,270.8096702,51.9879222
440.6644514,71.5902208,5736.182103,840.5235636
453.6171596,59.1289106,2670.3608226,526.3043491999999
391.6334668,61.082152,2850.9828316,513.5556306
6814.0250074,223.0037612,46713.5971146,4899.1054808
7024.6119632,229.8532882,31871.9205974,3715.062973
4999.1944214000005,239.65551220000003,21599.1861036,1245.8122878
21712.2784116,1044.805391,8248.6480382,2345.1175282
17345.0196144,826.1343872,7557.624596,2514.7378484
