HT,AMRules,ARF,OXT
0.73262890625,0.319779296875,11.546,2.358
6.116,3.276,129.94400000000002,73.304
1.662,0.366685546875,27.202,11.352
3.444,0.543734375,9.46,3.258
5.074,1.436,145.286,36.13
3.85,0.7412109375,149.844,25.188
8.29,1.502,155.658,32.553999999999995
1.932,0.2426054687499999,105.994,6.547999999999999
6.004,1.22690234375,33.324,38.332
4.978,0.663958984375,112.756,14.842
1.7559999999999998,0.70261328125,41.556,6.58
29.684,2.96,115.908,80.514
2.8,0.7212617187499999,83.556,11.008
10.174,4.42,141.002,43.312
29.910000000000004,2.07,127.656,38.63
27.190000000000005,1.95,108.71,49.418
27.690000000000005,2.12,101.126,42.24
81.05,0.409009765625,324.622580078125,102.094
83.57,1.28,722.978,123.94
66.71,0.6186484375,94.928,2.0420000000000003
209.62,7.574,25.36,21.652
218.21,7.529999999999999,24.75,21.362
