,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
14300,23,11,12,12,0,8,1062.0,125,62,63,63,0,14,7430.0,55,27,28,28,0,12,3223.0,91,45,46,46,0,10,6175.0,213,106,107,107,0,14,12191.0,215,107,108,108,0,16,14826.0,73,36,37,37,0,13,4557.0,65,32,33,33,0,11,4959.0,99,49,50,50,0,12,6365.0,9,4,5,5,0,5,1346.0,7,3,4,4,0,3,296.0,159,79,80,80,0,13,8450.0,181,90,91,91,0,15,12556.0,63,31,32,32,0,9,3563.0,245,122,123,123,0,16,14536.0,223,111,112,112,0,13,14203.0,199,99,100,100,0,12,15962.0,13,6,7,7,0,6,900.0,33,16,17,17,0,7,1561.0,71,35,36,36,0,10,5504.0
14400,33,16,17,17,0,9,1690.0,141,70,71,71,0,14,8053.0,65,32,33,33,0,12,3781.0,105,52,53,53,0,11,6769.0,25,12,13,13,0,7,1101.0,231,115,116,116,0,17,15438.0,77,38,39,39,0,13,5170.0,77,38,39,39,0,11,5595.0,109,54,55,55,0,12,6954.0,15,7,8,8,0,7,1963.0,21,10,11,11,0,5,901.0,165,82,83,83,0,13,9053.0,195,97,98,98,0,15,13132.0,71,35,36,36,0,10,4180.0,257,128,129,129,0,16,15157.0,229,114,115,115,0,13,14797.0,209,104,105,105,0,12,16578.0,27,13,14,14,0,8,1504.0,37,18,19,19,0,8,2176.0,79,39,40,40,0,10,6132.0
14500,47,23,24,24,0,10,2306.0,149,74,75,75,0,15,8639.0,75,37,38,38,0,12,4343.0,117,58,59,59,0,12,7385.0,37,18,19,19,0,9,1689.0,245,122,123,123,0,17,16051.0,85,42,43,43,0,13,5742.0,89,44,45,45,0,12,6163.0,115,57,58,58,0,13,7618.0,27,13,14,14,0,10,2566.0,31,15,16,16,0,7,1544.0,171,85,86,86,0,14,9652.0,205,102,103,103,0,15,13750.0,81,40,41,41,0,10,4741.0,261,130,131,131,0,16,15752.0,241,120,121,121,0,13,15436.0,215,107,108,108,0,12,17180.0,35,17,18,18,0,9,2114.0,55,27,28,28,0,9,2780.0,87,43,44,44,0,11,6710.0
14600,61,30,31,31,0,11,2904.0,157,78,79,79,0,15,9222.0,93,46,47,47,0,12,4924.0,5,2,3,3,0,3,182.0,53,26,27,27,0,9,2227.0,251,125,126,126,0,17,16685.0,97,48,49,49,0,13,6348.0,101,50,51,51,0,14,6785.0,125,62,63,63,0,14,8237.0,39,19,20,20,0,12,3236.0,39,19,20,20,0,8,2131.0,189,94,95,95,0,15,10224.0,217,108,109,109,0,15,14351.0,95,47,48,48,0,10,5350.0,269,134,135,135,0,17,16332.0,257,128,129,129,0,13,16042.0,219,109,110,110,0,13,17794.0,43,21,22,22,0,10,2686.0,65,32,33,33,0,10,3384.0,93,46,47,47,0,11,7285.0
14700,71,35,36,36,0,11,3489.0,169,84,85,85,0,16,9815.0,105,52,53,53,0,13,5466.0,19,9,10,10,0,6,803.0,65,32,33,33,0,10,2814.0,259,129,130,130,0,17,17297.0,111,55,56,56,0,13,6943.0,109,54,55,55,0,15,7359.0,145,72,73,73,0,14,8863.0,51,25,26,26,0,13,3871.0,53,26,27,27,0,9,2691.0,197,98,99,99,0,15,10840.0,227,113,114,114,0,15,14925.0,109,54,55,55,0,11,5945.0,275,137,138,138,0,17,16913.0,269,134,135,135,0,13,16651.0,231,115,116,116,0,13,18370.0,53,26,27,27,0,11,3287.0,81,40,41,41,0,10,3947.0,99,49,50,50,0,12,7879.0
14800,83,41,42,42,0,12,4109.0,181,90,91,91,0,16,10379.0,115,57,58,58,0,14,6030.0,31,15,16,16,0,8,1419.0,71,35,36,36,0,10,3402.0,269,134,135,135,0,17,17877.0,119,59,60,60,0,13,7535.0,121,60,61,61,0,15,7940.0,151,75,76,76,0,14,9469.0,63,31,32,32,0,15,4506.0,65,32,33,33,0,11,3303.0,199,99,100,100,0,15,11450.0,237,118,119,119,0,16,15542.0,115,57,58,58,0,11,6546.0,279,139,140,140,0,17,17516.0,277,138,139,139,0,13,17271.0,235,117,118,118,0,13,18972.0,61,30,31,31,0,12,3939.0,93,46,47,47,0,11,4520.0,105,52,53,53,0,12,8494.0
14900,93,46,47,47,0,12,4741.0,185,92,93,93,0,16,10973.0,131,65,66,66,0,15,6685.0,43,21,22,22,0,9,2025.0,79,39,40,40,0,10,4054.0,277,138,139,139,0,17,18470.0,133,66,67,67,0,14,8137.0,131,65,66,66,0,17,8533.0,161,80,81,81,0,15,10060.0,67,33,34,34,0,16,5121.0,75,37,38,38,0,12,3923.0,209,104,105,105,0,15,12043.0,241,120,121,121,0,16,16129.0,133,66,67,67,0,11,7144.0,289,144,145,145,0,17,18100.0,281,140,141,141,0,13,17861.0,243,121,122,122,0,14,19569.0,71,35,36,36,0,13,4592.0,101,50,51,51,0,12,5151.0,109,54,55,55,0,12,9100.0
15000,107,53,54,54,0,13,5314.0,199,99,100,100,0,16,11541.0,141,70,71,71,0,15,7287.0,53,26,27,27,0,9,2647.0,91,45,46,46,0,12,4639.0,297,148,149,149,0,17,19036.0,149,74,75,75,0,14,8750.0,135,67,68,68,0,17,9138.0,171,85,86,86,0,15,10691.0,83,41,42,42,0,16,5764.0,87,43,44,44,0,13,4518.0,11,5,6,6,0,5,661.0,255,127,128,128,0,16,16751.0,141,70,71,71,0,11,7707.0,303,151,152,152,0,18,18759.0,295,147,148,148,0,13,18434.0,253,126,127,127,0,14,20193.0,81,40,41,41,0,13,5159.0,113,56,57,57,0,12,5781.0,3,1,2,2,0,2,115.0
15100,3,1,2,2,0,2,105.0,209,104,105,105,0,16,12114.0,9,4,5,5,0,5,431.0,57,28,29,29,0,9,3276.0,105,52,53,53,0,12,5274.0,315,157,158,158,0,17,19626.0,151,75,76,76,0,14,9396.0,11,5,6,6,0,4,502.0,19,9,10,10,0,5,911.0,91,45,46,46,0,16,6364.0,101,50,51,51,0,13,5144.0,19,9,10,10,0,6,1236.0,257,128,129,129,0,16,17354.0,7,3,4,4,0,4,343.0,311,155,156,156,0,18,19319.0,311,155,156,156,0,14,19048.0,263,131,132,132,0,14,20791.0,89,44,45,45,0,13,5738.0,7,3,4,4,0,4,327.0,11,5,6,6,0,5,716.0
15200,15,7,8,8,0,6,732.0,29,14,15,15,0,7,1096.0,23,11,12,12,0,8,1013.0,67,33,34,34,0,9,3855.0,5,2,3,3,0,3,172.0,327,163,164,164,0,17,20247.0,7,3,4,4,0,3,364.0,29,14,15,15,0,7,1067.0,31,15,16,16,0,7,1499.0,13,6,7,7,0,5,433.0,115,57,58,58,0,13,5736.0,27,13,14,14,0,8,1821.0,19,9,10,10,0,7,995.0,21,10,11,11,0,7,943.0,315,157,158,158,0,18,19889.0,319,159,160,160,0,14,19648.0,279,139,140,140,0,14,21392.0,3,1,2,2,0,2,196.0,21,10,11,11,0,8,960.0,21,10,11,11,0,7,1274.0
