,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
2900,9,4,5,5,0,4,1262.0,3,1,2,2,0,2,559.0,13,6,7,7,0,5,852.0,13,6,7,7,0,5,948.0,17,8,9,9,0,6,1164.0,7,3,4,4,0,4,1337.0,11,5,6,6,0,5,1171.0,9,4,5,5,0,4,1254.0,9,4,5,5,0,4,1248.0,13,6,7,7,0,5,1471.0,7,3,4,4,0,4,1322.0,15,7,8,8,0,5,1312.0,19.0,9.0,10.0,10,0,5.0,1340.0,9,4,5,5,0,4,765.0,5,2,3,3,0,3,426.0,9,4,5,5,0,4,781.0,17,8,9,9,0,6,1479.0,19,9,10,10,0,6,1271.0,15,7,8,8,0,5,786.0,13,6,7,7,0,6,1188.0
3000,9,4,5,5,0,4,1304.0,3,1,2,2,0,2,610.0,15,7,8,8,0,5,900.0,15,7,8,8,0,6,1004.0,17,8,9,9,0,6,1215.0,7,3,4,4,0,4,1389.0,13,6,7,7,0,5,1229.0,9,4,5,5,0,4,1309.0,9,4,5,5,0,4,1299.0,13,6,7,7,0,5,1525.0,7,3,4,4,0,4,1369.0,15,7,8,8,0,5,1361.0,19.0,9.0,10.0,10,0,5.0,1389.0,9,4,5,5,0,4,820.0,5,2,3,3,0,3,486.0,11,5,6,6,0,4,836.0,17,8,9,9,0,6,1531.0,19,9,10,10,0,6,1325.0,15,7,8,8,0,5,830.0,3,1,2,2,0,2,80.0
3100,9,4,5,5,0,4,1350.0,3,1,2,2,0,2,661.0,15,7,8,8,0,5,956.0,17,8,9,9,0,6,1053.0,17,8,9,9,0,6,1264.0,9,4,5,5,0,5,1439.0,13,6,7,7,0,5,1275.0,11,5,6,6,0,5,1356.0,9,4,5,5,0,4,1358.0,13,6,7,7,0,5,1570.0,7,3,4,4,0,4,1421.0,17,8,9,9,0,5,1420.0,19.0,9.0,10.0,10,0,5.0,1442.0,9,4,5,5,0,4,868.0,5,2,3,3,0,3,533.0,13,6,7,7,0,5,895.0,1,0,1,1,0,1,77.0,19,9,10,10,0,6,1375.0,1,0,1,1,0,1,16.0,5,2,3,3,0,3,125.0
3200,9,4,5,5,0,4,1392.0,7,3,4,4,0,3,712.0,15,7,8,8,0,5,1006.0,17,8,9,9,0,6,1106.0,17,8,9,9,0,6,1315.0,9,4,5,5,0,5,1494.0,13,6,7,7,0,5,1323.0,11,5,6,6,0,5,1411.0,9,4,5,5,0,4,1404.0,13,6,7,7,0,5,1623.0,9,4,5,5,0,5,1476.0,19,9,10,10,0,5,1472.0,21.0,10.0,11.0,11,0,6.0,1496.0,9,4,5,5,0,4,918.0,5,2,3,3,0,3,585.0,1,0,1,1,0,1,22.0,1,0,1,1,0,1,121.0,21,10,11,11,0,6,1419.0,1,0,1,1,0,1,64.0,7,3,4,4,0,3,172.0
3300,11,5,6,6,0,4,1444.0,7,3,4,4,0,3,761.0,15,7,8,8,0,5,1060.0,17,8,9,9,0,6,1153.0,17,8,9,9,0,6,1363.0,9,4,5,5,0,5,1543.0,13,6,7,7,0,5,1372.0,11,5,6,6,0,5,1456.0,11,5,6,6,0,4,1457.0,13,6,7,7,0,5,1667.0,7,3,4,4,0,3,249.0,19,9,10,10,0,5,1517.0,21.0,10.0,11.0,11,0,6.0,1547.0,9,4,5,5,0,4,566.0,5,2,3,3,0,3,634.0,1,0,1,1,0,1,73.0,1,0,1,1,0,1,170.0,21,10,11,11,0,6,1462.0,1,0,1,1,0,1,125.0,7,3,4,4,0,3,235.0
3400,11,5,6,6,0,4,1484.0,7,3,4,4,0,3,818.0,15,7,8,8,0,5,1111.0,17,8,9,9,0,6,1202.0,17,8,9,9,0,6,1411.0,9,4,5,5,0,5,1593.0,13,6,7,7,0,5,1429.0,11,5,6,6,0,5,1508.0,11,5,6,6,0,4,1511.0,15,7,8,8,0,6,1717.0,7,3,4,4,0,3,305.0,21,10,11,11,0,6,1568.0,21.0,10.0,11.0,11,0,6.0,1598.0,9,4,5,5,0,4,614.0,7,3,4,4,0,4,684.0,3,1,2,2,0,2,121.0,1,0,1,1,0,1,222.0,23,11,12,12,0,6,1520.0,1,0,1,1,0,1,171.0,7,3,4,4,0,3,280.0
3500,3,1,2,2,0,2,148.0,11,5,6,6,0,4,334.0,15,7,8,8,0,5,1162.0,17,8,9,9,0,6,1248.0,17,8,9,9,0,6,1469.0,9,4,5,5,0,5,1644.0,15,7,8,8,0,5,1482.0,11,5,6,6,0,5,1560.0,11,5,6,6,0,4,1570.0,5,2,3,3,0,3,264.0,7,3,4,4,0,3,359.0,21,10,11,11,0,6,1616.0,21.0,10.0,11.0,11,0,6.0,1639.0,9,4,5,5,0,4,657.0,7,3,4,4,0,4,730.0,3,1,2,2,0,2,179.0,3,1,2,2,0,2,267.0,23,11,12,12,0,6,1567.0,3,1,2,2,0,2,231.0,9,4,5,5,0,4,338.0
3600,3,1,2,2,0,2,195.0,11,5,6,6,0,4,386.0,17,8,9,9,0,6,1220.0,17,8,9,9,0,6,1299.0,17,8,9,9,0,6,1517.0,9,4,5,5,0,5,1695.0,17,8,9,9,0,6,1527.0,11,5,6,6,0,5,1617.0,11,5,6,6,0,4,1621.0,7,3,4,4,0,3,314.0,7,3,4,4,0,3,406.0,21,10,11,11,0,6,1664.0,21.0,10.0,11.0,11,0,6.0,1696.0,13,6,7,7,0,5,721.0,7,3,4,4,0,4,783.0,3,1,2,2,0,2,220.0,3,1,2,2,0,2,320.0,23,11,12,12,0,6,1620.0,3,1,2,2,0,2,294.0,9,4,5,5,0,4,388.0
3700,3,1,2,2,0,2,254.0,11,5,6,6,0,4,437.0,17,8,9,9,0,6,1271.0,17,8,9,9,0,6,1340.0,17,8,9,9,0,6,1570.0,9,4,5,5,0,5,1751.0,17,8,9,9,0,6,1576.0,11,5,6,6,0,5,1659.0,11,5,6,6,0,4,1667.0,7,3,4,4,0,3,360.0,7,3,4,4,0,3,460.0,25,12,13,13,0,6,1716.0,21.0,10.0,11.0,11,0,6.0,1751.0,13,6,7,7,0,5,767.0,9,4,5,5,0,4,829.0,3,1,2,2,0,2,278.0,3,1,2,2,0,2,375.0,25,12,13,13,0,6,1661.0,3,1,2,2,0,2,345.0,9,4,5,5,0,4,430.0
3800,5,2,3,3,0,3,315.0,11,5,6,6,0,4,486.0,17,8,9,9,0,6,1322.0,17,8,9,9,0,6,1391.0,19,9,10,10,0,6,1614.0,9,4,5,5,0,5,1801.0,21,10,11,11,0,6,1629.0,11,5,6,6,0,5,1710.0,11,5,6,6,0,4,1722.0,7,3,4,4,0,3,406.0,7,3,4,4,0,3,510.0,25,12,13,13,0,6,1767.0,19.0,9.0,10.0,10,0,6.0,1167.0,13,6,7,7,0,5,813.0,9,4,5,5,0,4,884.0,3,1,2,2,0,2,332.0,3,1,2,2,0,2,414.0,25,12,13,13,0,6,1709.0,3,1,2,2,0,2,395.0,9,4,5,5,0,4,478.0
