,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
7900,15,7,8,8,0,6,1384.0,35,17,18,18,0,8,2727.0,17,8,9,9,0,5,1676.0,39,19,20,20,0,7,4029.0,31,15,16,16,0,7,3486.0,19,9,10,10,0,5,1481.0,17,8,9,9,0,5,1718.0,15,7,8,8,0,5,1143.0,5,2,3,3,0,3,356.0,37,18,19,19,0,8,3957.0,7,3,4,4,0,3,847.0,5,2,3,3,0,3,581.0,31,15,16,16,0,7,3904.0,51,25,26,26,0,8,3974.0,17,8,9,9,0,6,2552.0,11,5,6,6,0,5,1550.0,19,9,10,10,0,5,1291.0,17,8,9,9,0,5,1643.0,19,9,10,10,0,5,1921.0,41,20,21,21,0,9,3959.0
8000,15,7,8,8,0,6,1444.0,35,17,18,18,0,8,2774.0,17,8,9,9,0,5,1718.0,41,20,21,21,0,7,4070.0,31,15,16,16,0,7,3534.0,19,9,10,10,0,5,1531.0,17,8,9,9,0,5,1758.0,17,8,9,9,0,5,1202.0,5,2,3,3,0,3,402.0,37,18,19,19,0,8,4009.0,7,3,4,4,0,3,887.0,7,3,4,4,0,4,635.0,31,15,16,16,0,7,3945.0,53,26,27,27,0,8,4031.0,17,8,9,9,0,6,2605.0,11,5,6,6,0,5,1597.0,19,9,10,10,0,5,1352.0,17,8,9,9,0,5,1701.0,19,9,10,10,0,5,1971.0,41,20,21,21,0,9,4009.0
8100,15,7,8,8,0,6,1497.0,35,17,18,18,0,8,2830.0,17,8,9,9,0,5,1777.0,41,20,21,21,0,7,4108.0,31,15,16,16,0,7,3593.0,19,9,10,10,0,5,1587.0,17,8,9,9,0,5,1804.0,19,9,10,10,0,6,1246.0,5,2,3,3,0,3,450.0,37,18,19,19,0,8,4049.0,7,3,4,4,0,3,933.0,9,4,5,5,0,4,687.0,33,16,17,17,0,7,3990.0,55,27,28,28,0,8,4073.0,17,8,9,9,0,6,2653.0,11,5,6,6,0,5,1634.0,19,9,10,10,0,5,1403.0,17,8,9,9,0,5,1738.0,19,9,10,10,0,5,2012.0,41,20,21,21,0,9,4059.0
8200,15,7,8,8,0,6,1546.0,35,17,18,18,0,8,2878.0,17,8,9,9,0,5,1826.0,3,1,2,2,0,2,481.0,31,15,16,16,0,7,3641.0,21,10,11,11,0,5,1631.0,17,8,9,9,0,5,1855.0,19,9,10,10,0,6,1293.0,7,3,4,4,0,3,506.0,37,18,19,19,0,8,4091.0,7,3,4,4,0,3,989.0,9,4,5,5,0,4,737.0,33,16,17,17,0,7,4034.0,55,27,28,28,0,8,4114.0,17,8,9,9,0,6,2711.0,15,7,8,8,0,6,1690.0,19,9,10,10,0,5,1449.0,17,8,9,9,0,5,1791.0,19,9,10,10,0,5,2061.0,11,5,6,6,0,5,436.0
8300,15,7,8,8,0,6,1599.0,35,17,18,18,0,8,2933.0,17,8,9,9,0,5,1887.0,3,1,2,2,0,2,534.0,31,15,16,16,0,7,3695.0,21,10,11,11,0,5,1681.0,17,8,9,9,0,5,1904.0,19,9,10,10,0,6,1342.0,7,3,4,4,0,3,556.0,9,4,5,5,0,4,571.0,7,3,4,4,0,3,1036.0,9,4,5,5,0,4,787.0,33,16,17,17,0,7,4079.0,55,27,28,28,0,8,4156.0,17,8,9,9,0,6,2762.0,15,7,8,8,0,6,1747.0,19,9,10,10,0,5,1505.0,17,8,9,9,0,5,1841.0,19,9,10,10,0,5,2112.0,11,5,6,6,0,5,487.0
8400,15,7,8,8,0,6,1653.0,35,17,18,18,0,8,2981.0,17,8,9,9,0,5,1933.0,5,2,3,3,0,3,585.0,31,15,16,16,0,7,3753.0,23,11,12,12,0,6,1735.0,17,8,9,9,0,5,1952.0,21,10,11,11,0,6,1397.0,7,3,4,4,0,3,600.0,9,4,5,5,0,4,616.0,7,3,4,4,0,3,1076.0,9,4,5,5,0,4,837.0,33,16,17,17,0,7,4126.0,55,27,28,28,0,8,4205.0,17,8,9,9,0,6,2804.0,15,7,8,8,0,6,1793.0,19,9,10,10,0,5,1545.0,19,9,10,10,0,6,1897.0,19,9,10,10,0,5,2162.0,13,6,7,7,0,5,543.0
8500,15,7,8,8,0,6,1708.0,35,17,18,18,0,8,3030.0,17,8,9,9,0,5,1973.0,5,2,3,3,0,3,636.0,33,16,17,17,0,8,3802.0,23,11,12,12,0,6,1780.0,19,9,10,10,0,5,2006.0,21,10,11,11,0,6,1450.0,7,3,4,4,0,3,645.0,9,4,5,5,0,4,664.0,7,3,4,4,0,3,1130.0,9,4,5,5,0,4,888.0,33,16,17,17,0,7,4172.0,55,27,28,28,0,8,4255.0,19,9,10,10,0,6,2850.0,15,7,8,8,0,6,1843.0,19,9,10,10,0,5,1591.0,19,9,10,10,0,6,1949.0,19,9,10,10,0,5,2216.0,13,6,7,7,0,5,596.0
8600,15,7,8,8,0,6,1752.0,37,18,19,19,0,8,3080.0,17,8,9,9,0,5,2023.0,5,2,3,3,0,3,684.0,33,16,17,17,0,8,3854.0,23,11,12,12,0,6,1835.0,19,9,10,10,0,5,2061.0,21,10,11,11,0,6,1498.0,7,3,4,4,0,3,694.0,9,4,5,5,0,4,705.0,9,4,5,5,0,4,1169.0,13,6,7,7,0,5,937.0,33,16,17,17,0,7,4228.0,55,27,28,28,0,8,4304.0,23,11,12,12,0,7,2898.0,15,7,8,8,0,6,1889.0,19,9,10,10,0,5,1637.0,19,9,10,10,0,6,2008.0,19,9,10,10,0,5,2264.0,13,6,7,7,0,5,650.0
8700,15,7,8,8,0,6,1798.0,37,18,19,19,0,8,3138.0,17,8,9,9,0,5,2071.0,5,2,3,3,0,3,732.0,33,16,17,17,0,8,3898.0,25,12,13,13,0,6,1889.0,19,9,10,10,0,5,2114.0,21,10,11,11,0,6,1545.0,7,3,4,4,0,3,741.0,11,5,6,6,0,4,759.0,9,4,5,5,0,4,1217.0,13,6,7,7,0,5,990.0,33,16,17,17,0,7,4272.0,55,27,28,28,0,8,4353.0,23,11,12,12,0,7,2945.0,15,7,8,8,0,6,1936.0,21,10,11,11,0,5,1678.0,19,9,10,10,0,6,2050.0,19,9,10,10,0,5,2313.0,13,6,7,7,0,5,705.0
8800,15,7,8,8,0,6,1849.0,37,18,19,19,0,8,3188.0,17,8,9,9,0,5,2115.0,5,2,3,3,0,3,790.0,33,16,17,17,0,8,3946.0,25,12,13,13,0,6,1937.0,19,9,10,10,0,5,2161.0,21,10,11,11,0,6,1606.0,7,3,4,4,0,3,783.0,11,5,6,6,0,4,817.0,9,4,5,5,0,4,1270.0,13,6,7,7,0,5,1040.0,33,16,17,17,0,7,4317.0,55,27,28,28,0,8,4401.0,23,11,12,12,0,7,2992.0,15,7,8,8,0,6,1986.0,21,10,11,11,0,5,1730.0,21,10,11,11,0,6,2096.0,21,10,11,11,0,5,2365.0,13,6,7,7,0,5,744.0
