,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
100,1.0,0.0,1.0,1,0,1.0,45.0,3,1,2,2,0,2,53.0,1,0,1,1,0,1,46.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,48.0,3.0,1.0,2.0,2,0,2.0,53.0,3,1,2,2,0,2,53.0,1,0,1,1,0,1,46.0,3,1,2,2,0,2,55.0,1.0,0.0,1.0,1,0,1.0,41.0,3.0,1.0,2.0,2,0,2.0,54.0,3,1,2,2,0,2,52.0,1,0,1,1,0,1,45.0,3,1,2,2,0,2,53.0,1,0,1,1,0,1,39.0,1,0,1,1,0,1,47.0,3,1,2,2,0,2,61.0,3,1,2,2,0,2,55.0,3,1,2,2,0,2,50.0,3,1,2,2,0,2,52.0
200,3.0,1.0,2.0,2,0,2.0,96.0,3,1,2,2,0,2,96.0,3,1,2,2,0,2,102.0,3,1,2,2,0,2,102.0,3,1,2,2,0,2,104.0,3.0,1.0,2.0,2,0,2.0,111.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,100.0,3,1,2,2,0,2,106.0,3.0,1.0,2.0,2,0,2.0,97.0,3.0,1.0,2.0,2,0,2.0,106.0,3,1,2,2,0,2,101.0,3,1,2,2,0,2,87.0,3,1,2,2,0,2,110.0,1,0,1,1,0,1,97.0,1,0,1,1,0,1,49.0,3,1,2,2,0,2,117.0,3,1,2,2,0,2,105.0,3,1,2,2,0,2,95.0,3,1,2,2,0,2,93.0
300,3.0,1.0,2.0,2,0,2.0,148.0,3,1,2,2,0,2,146.0,3,1,2,2,0,2,150.0,3,1,2,2,0,2,149.0,3,1,2,2,0,2,158.0,3.0,1.0,2.0,2,0,2.0,166.0,5,2,3,3,0,3,159.0,3,1,2,2,0,2,147.0,3,1,2,2,0,2,153.0,5.0,2.0,3.0,3,0,3.0,140.0,3.0,1.0,2.0,2,0,2.0,154.0,3,1,2,2,0,2,154.0,5,2,3,3,0,3,135.0,5,2,3,3,0,3,154.0,1,0,1,1,0,1,143.0,3,1,2,2,0,2,103.0,3,1,2,2,0,2,169.0,3,1,2,2,0,2,150.0,5,2,3,3,0,3,140.0,5,2,3,3,0,3,144.0
400,3.0,1.0,2.0,2,0,2.0,197.0,5,2,3,3,0,3,195.0,3,1,2,2,0,2,208.0,5,2,3,3,0,3,198.0,3,1,2,2,0,2,209.0,5.0,2.0,3.0,3,0,3.0,218.0,7,3,4,4,0,3,204.0,3,1,2,2,0,2,195.0,3,1,2,2,0,2,207.0,5.0,2.0,3.0,3,0,3.0,187.0,3.0,1.0,2.0,2,0,2.0,209.0,3,1,2,2,0,2,201.0,5,2,3,3,0,3,188.0,5,2,3,3,0,3,200.0,1,0,1,1,0,1,188.0,5,2,3,3,0,3,144.0,3,1,2,2,0,2,221.0,5,2,3,3,0,3,207.0,5,2,3,3,0,3,188.0,5,2,3,3,0,3,195.0
500,1.0,0.0,1.0,1,0,1.0,29.0,5,2,3,3,0,3,246.0,5,2,3,3,0,3,263.0,7,3,4,4,0,3,252.0,5,2,3,3,0,3,265.0,7.0,3.0,4.0,4,0,3.0,268.0,7,3,4,4,0,3,254.0,5,2,3,3,0,3,248.0,3,1,2,2,0,2,248.0,5.0,2.0,3.0,3,0,3.0,239.0,5.0,2.0,3.0,3,0,3.0,259.0,3,1,2,2,0,2,261.0,7,3,4,4,0,3,240.0,7,3,4,4,0,4,245.0,3,1,2,2,0,2,238.0,5,2,3,3,0,3,203.0,7,3,4,4,0,3,268.0,5,2,3,3,0,3,257.0,7,3,4,4,0,4,231.0,5,2,3,3,0,3,236.0
600,3.0,1.0,2.0,2,0,2.0,76.0,7,3,4,4,0,3,300.0,1,0,1,1,0,1,44.0,3,1,2,2,0,2,69.0,1,0,1,1,0,1,43.0,1.0,0.0,1.0,1,0,1.0,65.0,9,4,5,5,0,4,308.0,3,1,2,2,0,2,61.0,3,1,2,2,0,2,57.0,1.0,0.0,1.0,1,0,1.0,61.0,1.0,0.0,1.0,1,0,1.0,60.0,3,1,2,2,0,2,64.0,3,1,2,2,0,2,53.0,7,3,4,4,0,4,293.0,3,1,2,2,0,2,109.0,5,2,3,3,0,3,252.0,5,2,3,3,0,3,235.0,1,0,1,1,0,1,36.0,7,3,4,4,0,4,281.0,1,0,1,1,0,1,38.0
700,3.0,1.0,2.0,2,0,2.0,126.0,7,3,4,4,0,3,345.0,3,1,2,2,0,2,93.0,5,2,3,3,0,3,123.0,3,1,2,2,0,2,84.0,3.0,1.0,2.0,2,0,2.0,115.0,9,4,5,5,0,4,356.0,3,1,2,2,0,2,111.0,3,1,2,2,0,2,106.0,3.0,1.0,2.0,2,0,2.0,111.0,3.0,1.0,2.0,2,0,2.0,104.0,3,1,2,2,0,2,99.0,3,1,2,2,0,2,111.0,9,4,5,5,0,4,347.0,5,2,3,3,0,3,160.0,1,0,1,1,0,1,43.0,7,3,4,4,0,3,282.0,1,0,1,1,0,1,86.0,9,4,5,5,0,4,320.0,1,0,1,1,0,1,77.0
800,5.0,2.0,3.0,3,0,3.0,180.0,1,0,1,1,0,1,18.0,3,1,2,2,0,2,140.0,5,2,3,3,0,3,172.0,3,1,2,2,0,2,131.0,,,,0,0,,0.0,1,0,1,1,0,1,18.0,5,2,3,3,0,3,162.0,3,1,2,2,0,2,153.0,,,,0,0,,0.0,,,,0,0,,0.0,3,1,2,2,0,2,146.0,3,1,2,2,0,2,165.0,1,0,1,1,0,1,92.0,3,1,2,2,0,2,102.0,3,1,2,2,0,2,92.0,7,3,4,4,0,3,325.0,3,1,2,2,0,2,136.0,3,1,2,2,0,2,68.0,3,1,2,2,0,2,134.0
900,7.0,3.0,4.0,4,0,3.0,230.0,3,1,2,2,0,2,74.0,3,1,2,2,0,2,197.0,7,3,4,4,0,4,221.0,3,1,2,2,0,2,178.0,1.0,0.0,1.0,1,0,1.0,53.0,3,1,2,2,0,2,65.0,7,3,4,4,0,3,209.0,5,2,3,3,0,3,205.0,1.0,0.0,1.0,1,0,1.0,51.0,3.0,1.0,2.0,2,0,2.0,50.0,3,1,2,2,0,2,197.0,3,1,2,2,0,2,221.0,3,1,2,2,0,2,136.0,5,2,3,3,0,3,155.0,3,1,2,2,0,2,145.0,7,3,4,4,0,3,382.0,3,1,2,2,0,2,180.0,3,1,2,2,0,2,112.0,3,1,2,2,0,2,181.0
1000,3.0,1.0,2.0,2,0,2.0,92.0,3,1,2,2,0,2,123.0,1,0,1,1,0,1,19.0,9,4,5,5,0,4,271.0,3,1,2,2,0,2,242.0,1.0,0.0,1.0,1,0,1.0,99.0,5,2,3,3,0,3,122.0,7,3,4,4,0,3,258.0,7,3,4,4,0,3,255.0,1.0,0.0,1.0,1,0,1.0,99.0,3.0,1.0,2.0,2,0,2.0,103.0,5,2,3,3,0,3,244.0,5,2,3,3,0,3,273.0,3,1,2,2,0,2,188.0,5,2,3,3,0,3,207.0,5,2,3,3,0,3,195.0,7,3,4,4,0,3,432.0,3,1,2,2,0,2,91.0,3,1,2,2,0,2,165.0,3,1,2,2,0,2,53.0
