,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
14300,11,5,6,6,0,4,1711.0,7,3,4,4,0,3,928.0,7,3,4,4,0,3,1042.0,7,3,4,4,0,4,2290.0,15.0,7.0,8.0,8,0,4.0,3695.0,15.0,7.0,8.0,8,0,4.0,3113.0,9.0,4.0,5.0,5,0,4.0,945.0,5.0,2.0,3.0,3,0,3.0,501.0,15,7,8,8,0,5,3045.0,9,4,5,5,0,4,3564.0,9.0,4.0,5.0,5,0,4.0,2440.0,3,1,2,2,0,2,235.0,9,4,5,5,0,4,2206.0,11.0,5.0,6.0,6,0,4.0,1522.0,17.0,8.0,9.0,9,0,5.0,3219.0,7.0,3.0,4.0,4,0,3.0,868.0,5,2,3,3,0,3,661.0,7.0,3.0,4.0,4,0,3.0,1184.0,11,5,6,6,0,4,967.0,13,6,7,7,0,4,2039.0
14400,11,5,6,6,0,4,1771.0,7,3,4,4,0,3,968.0,7,3,4,4,0,3,1100.0,7,3,4,4,0,4,2338.0,15.0,7.0,8.0,8,0,4.0,3732.0,15.0,7.0,8.0,8,0,4.0,3155.0,9.0,4.0,5.0,5,0,4.0,997.0,5.0,2.0,3.0,3,0,3.0,555.0,15,7,8,8,0,5,3097.0,7,3,4,4,0,3,1227.0,9.0,4.0,5.0,5,0,4.0,2488.0,3,1,2,2,0,2,284.0,9,4,5,5,0,4,2256.0,11.0,5.0,6.0,6,0,4.0,1578.0,17.0,8.0,9.0,9,0,5.0,3266.0,7.0,3.0,4.0,4,0,3.0,928.0,5,2,3,3,0,3,706.0,7.0,3.0,4.0,4,0,3.0,1245.0,11,5,6,6,0,4,1027.0,13,6,7,7,0,4,2089.0
14500,11,5,6,6,0,4,1825.0,7,3,4,4,0,3,1025.0,7,3,4,4,0,3,1147.0,9,4,5,5,0,4,2383.0,15.0,7.0,8.0,8,0,4.0,3790.0,15.0,7.0,8.0,8,0,4.0,3207.0,9.0,4.0,5.0,5,0,4.0,1055.0,7.0,3.0,4.0,4,0,3.0,611.0,15,7,8,8,0,5,3154.0,7,3,4,4,0,3,1271.0,9.0,4.0,5.0,5,0,4.0,2543.0,3,1,2,2,0,2,335.0,9,4,5,5,0,4,2307.0,11.0,5.0,6.0,6,0,4.0,1624.0,17.0,8.0,9.0,9,0,5.0,3311.0,7.0,3.0,4.0,4,0,3.0,980.0,5,2,3,3,0,3,749.0,7.0,3.0,4.0,4,0,3.0,1292.0,11,5,6,6,0,4,1079.0,13,6,7,7,0,4,2135.0
14600,11,5,6,6,0,4,1865.0,7,3,4,4,0,3,1068.0,7,3,4,4,0,3,1196.0,9,4,5,5,0,4,2432.0,15.0,7.0,8.0,8,0,4.0,3835.0,15.0,7.0,8.0,8,0,4.0,3251.0,9.0,4.0,5.0,5,0,4.0,1104.0,7.0,3.0,4.0,4,0,3.0,666.0,15,7,8,8,0,5,3200.0,7,3,4,4,0,3,1332.0,9.0,4.0,5.0,5,0,4.0,2591.0,3,1,2,2,0,2,382.0,11,5,6,6,0,4,2364.0,11.0,5.0,6.0,6,0,4.0,1668.0,17.0,8.0,9.0,9,0,5.0,3357.0,7.0,3.0,4.0,4,0,3.0,1020.0,5,2,3,3,0,3,808.0,7.0,3.0,4.0,4,0,3.0,1351.0,11,5,6,6,0,4,1131.0,15,7,8,8,0,5,2184.0
14700,11,5,6,6,0,4,1912.0,7,3,4,4,0,3,1118.0,7,3,4,4,0,3,1242.0,9,4,5,5,0,4,2482.0,15.0,7.0,8.0,8,0,4.0,3881.0,15.0,7.0,8.0,8,0,4.0,3302.0,11.0,5.0,6.0,6,0,4.0,1153.0,7.0,3.0,4.0,4,0,3.0,728.0,15,7,8,8,0,5,3246.0,7,3,4,4,0,3,1383.0,9.0,4.0,5.0,5,0,4.0,2646.0,5,2,3,3,0,3,433.0,11,5,6,6,0,4,2420.0,11.0,5.0,6.0,6,0,4.0,1711.0,19.0,9.0,10.0,10,0,5.0,3407.0,7.0,3.0,4.0,4,0,3.0,1069.0,5,2,3,3,0,3,858.0,7.0,3.0,4.0,4,0,3.0,1395.0,11,5,6,6,0,4,1174.0,15,7,8,8,0,5,2225.0
14800,13,6,7,7,0,4,1962.0,7,3,4,4,0,3,1159.0,7,3,4,4,0,3,1286.0,9,4,5,5,0,4,2531.0,17.0,8.0,9.0,9,0,5.0,3931.0,15.0,7.0,8.0,8,0,4.0,3348.0,11.0,5.0,6.0,6,0,4.0,1206.0,7.0,3.0,4.0,4,0,3.0,781.0,15,7,8,8,0,5,3305.0,7,3,4,4,0,3,1434.0,9.0,4.0,5.0,5,0,4.0,2692.0,5,2,3,3,0,3,480.0,11,5,6,6,0,4,2475.0,11.0,5.0,6.0,6,0,4.0,1755.0,21.0,10.0,11.0,11,0,6.0,3455.0,7.0,3.0,4.0,4,0,3.0,1121.0,5,2,3,3,0,3,910.0,7.0,3.0,4.0,4,0,3.0,1447.0,11,5,6,6,0,4,1231.0,15,7,8,8,0,5,2272.0
14900,13,6,7,7,0,4,2010.0,7,3,4,4,0,3,1202.0,7,3,4,4,0,3,1337.0,9,4,5,5,0,4,2585.0,17.0,8.0,9.0,9,0,5.0,3982.0,15.0,7.0,8.0,8,0,4.0,3393.0,11.0,5.0,6.0,6,0,4.0,1249.0,7.0,3.0,4.0,4,0,3.0,835.0,15,7,8,8,0,5,3349.0,7,3,4,4,0,3,1481.0,9.0,4.0,5.0,5,0,4.0,2743.0,5,2,3,3,0,3,525.0,11,5,6,6,0,4,2520.0,11.0,5.0,6.0,6,0,4.0,1793.0,21.0,10.0,11.0,11,0,6.0,3505.0,7.0,3.0,4.0,4,0,3.0,1166.0,5,2,3,3,0,3,966.0,9.0,4.0,5.0,5,0,4.0,1497.0,11,5,6,6,0,4,1282.0,15,7,8,8,0,5,2320.0
15000,13,6,7,7,0,4,2063.0,7,3,4,4,0,3,1251.0,7,3,4,4,0,3,1393.0,9,4,5,5,0,4,2643.0,17.0,8.0,9.0,9,0,5.0,4047.0,17.0,8.0,9.0,9,0,5.0,3441.0,11.0,5.0,6.0,6,0,4.0,1303.0,7.0,3.0,4.0,4,0,3.0,883.0,15,7,8,8,0,5,3393.0,7,3,4,4,0,3,1534.0,9.0,4.0,5.0,5,0,4.0,2791.0,5,2,3,3,0,3,569.0,13,6,7,7,0,4,2574.0,11.0,5.0,6.0,6,0,4.0,1848.0,21.0,10.0,11.0,11,0,6.0,3559.0,7.0,3.0,4.0,4,0,3.0,1213.0,5,2,3,3,0,3,1022.0,9.0,4.0,5.0,5,0,4.0,1548.0,11,5,6,6,0,4,1333.0,15,7,8,8,0,5,2364.0
15100,13,6,7,7,0,4,2098.0,7,3,4,4,0,3,1300.0,7,3,4,4,0,3,1431.0,9,4,5,5,0,4,2701.0,17.0,8.0,9.0,9,0,5.0,4102.0,17.0,8.0,9.0,9,0,5.0,3477.0,11.0,5.0,6.0,6,0,4.0,1353.0,7.0,3.0,4.0,4,0,3.0,936.0,15,7,8,8,0,5,3445.0,7,3,4,4,0,3,1585.0,9.0,4.0,5.0,5,0,4.0,2845.0,5,2,3,3,0,3,630.0,13,6,7,7,0,4,2624.0,13.0,6.0,7.0,7,0,5.0,1902.0,21.0,10.0,11.0,11,0,6.0,3606.0,7.0,3.0,4.0,4,0,3.0,1261.0,5,2,3,3,0,3,1073.0,9.0,4.0,5.0,5,0,4.0,1596.0,13,6,7,7,0,5,1390.0,15,7,8,8,0,5,2410.0
15200,13,6,7,7,0,4,2144.0,7,3,4,4,0,3,1348.0,7,3,4,4,0,3,1480.0,9,4,5,5,0,4,2747.0,17.0,8.0,9.0,9,0,5.0,4155.0,17.0,8.0,9.0,9,0,5.0,3526.0,11.0,5.0,6.0,6,0,4.0,1407.0,7.0,3.0,4.0,4,0,3.0,988.0,15,7,8,8,0,5,3494.0,7,3,4,4,0,3,1636.0,9.0,4.0,5.0,5,0,4.0,2889.0,5,2,3,3,0,3,676.0,13,6,7,7,0,4,2669.0,13.0,6.0,7.0,7,0,5.0,1953.0,23.0,11.0,12.0,12,0,6.0,3654.0,7.0,3.0,4.0,4,0,3.0,1307.0,5,2,3,3,0,3,1109.0,9.0,4.0,5.0,5,0,4.0,1646.0,13,6,7,7,0,5,1443.0,15,7,8,8,0,5,2462.0
