,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
1100,5,2,3,3,0,3,409.0,5,2,3,3,0,3,328.0,7,3,4,4,0,3,553.0,9,4,5,5,0,4,551.0,9,4,5,5,0,4,395.0,7,3,4,4,0,3,537.0,7,3,4,4,0,3,538.0,5,2,3,3,0,3,318.0,9,4,5,5,0,4,320.0,5,2,3,3,0,3,316.0,9,4,5,5,0,4,458.0,7,3,4,4,0,3,302.0,9,4,5,5,0,4,433.0,7,3,4,4,0,3,438.0,5,2,3,3,0,3,349.0,7,3,4,4,0,3,548.0,5,2,3,3,0,3,323.0,5,2,3,3,0,3,299.0,5,2,3,3,0,3,380.0,9,4,5,5,0,4,335.0
1200,5,2,3,3,0,3,464.0,5,2,3,3,0,3,374.0,7,3,4,4,0,3,597.0,9,4,5,5,0,4,599.0,9,4,5,5,0,4,441.0,7,3,4,4,0,3,589.0,7,3,4,4,0,3,592.0,5,2,3,3,0,3,374.0,9,4,5,5,0,4,371.0,5,2,3,3,0,3,366.0,9,4,5,5,0,4,511.0,9,4,5,5,0,4,344.0,9,4,5,5,0,4,486.0,9,4,5,5,0,4,486.0,5,2,3,3,0,3,396.0,7,3,4,4,0,3,591.0,5,2,3,3,0,3,373.0,5,2,3,3,0,3,342.0,5,2,3,3,0,3,432.0,9,4,5,5,0,4,392.0
1300,5,2,3,3,0,3,516.0,5,2,3,3,0,3,426.0,7,3,4,4,0,3,645.0,9,4,5,5,0,4,654.0,9,4,5,5,0,4,493.0,7,3,4,4,0,3,640.0,7,3,4,4,0,3,640.0,5,2,3,3,0,3,429.0,9,4,5,5,0,4,419.0,5,2,3,3,0,3,415.0,9,4,5,5,0,4,557.0,9,4,5,5,0,4,396.0,9,4,5,5,0,4,541.0,9,4,5,5,0,4,536.0,5,2,3,3,0,3,446.0,7,3,4,4,0,3,631.0,5,2,3,3,0,3,419.0,5,2,3,3,0,3,394.0,5,2,3,3,0,3,482.0,9,4,5,5,0,4,445.0
1400,7,3,4,4,0,3,564.0,5,2,3,3,0,3,472.0,7,3,4,4,0,3,694.0,9,4,5,5,0,4,702.0,9,4,5,5,0,4,548.0,7,3,4,4,0,3,690.0,7,3,4,4,0,3,683.0,5,2,3,3,0,3,480.0,9,4,5,5,0,4,466.0,9,4,5,5,0,4,463.0,9,4,5,5,0,4,604.0,9,4,5,5,0,4,446.0,9,4,5,5,0,4,599.0,11,5,6,6,0,4,580.0,5,2,3,3,0,3,500.0,7,3,4,4,0,3,681.0,7,3,4,4,0,4,469.0,5,2,3,3,0,3,448.0,5,2,3,3,0,3,535.0,9,4,5,5,0,4,487.0
1500,7,3,4,4,0,3,612.0,7,3,4,4,0,4,515.0,7,3,4,4,0,3,736.0,9,4,5,5,0,4,757.0,9,4,5,5,0,4,595.0,9,4,5,5,0,4,738.0,7,3,4,4,0,3,734.0,5,2,3,3,0,3,522.0,9,4,5,5,0,4,511.0,9,4,5,5,0,4,515.0,9,4,5,5,0,4,653.0,9,4,5,5,0,4,493.0,9,4,5,5,0,4,645.0,11,5,6,6,0,4,627.0,5,2,3,3,0,3,550.0,7,3,4,4,0,3,738.0,3,1,2,2,0,2,84.0,5,2,3,3,0,3,493.0,5,2,3,3,0,3,585.0,9,4,5,5,0,4,531.0
1600,7,3,4,4,0,3,671.0,7,3,4,4,0,4,573.0,9,4,5,5,0,4,786.0,11,5,6,6,0,5,807.0,9,4,5,5,0,4,641.0,9,4,5,5,0,4,791.0,9,4,5,5,0,4,780.0,5,2,3,3,0,3,564.0,9,4,5,5,0,4,557.0,9,4,5,5,0,4,565.0,9,4,5,5,0,4,709.0,9,4,5,5,0,4,548.0,9,4,5,5,0,4,689.0,11,5,6,6,0,4,679.0,5,2,3,3,0,3,610.0,9,4,5,5,0,4,790.0,3,1,2,2,0,2,141.0,5,2,3,3,0,3,538.0,7,3,4,4,0,4,642.0,11,5,6,6,0,5,578.0
1700,9,4,5,5,0,4,717.0,9,4,5,5,0,4,616.0,9,4,5,5,0,4,837.0,11,5,6,6,0,5,862.0,11,5,6,6,0,5,693.0,9,4,5,5,0,4,833.0,9,4,5,5,0,4,832.0,5,2,3,3,0,3,617.0,11,5,6,6,0,5,605.0,9,4,5,5,0,4,628.0,9,4,5,5,0,4,765.0,9,4,5,5,0,4,599.0,9,4,5,5,0,4,737.0,11,5,6,6,0,4,719.0,5,2,3,3,0,3,658.0,9,4,5,5,0,4,843.0,3,1,2,2,0,2,195.0,5,2,3,3,0,3,584.0,7,3,4,4,0,4,688.0,11,5,6,6,0,5,636.0
1800,9,4,5,5,0,4,767.0,9,4,5,5,0,4,670.0,9,4,5,5,0,4,881.0,11,5,6,6,0,5,906.0,11,5,6,6,0,5,735.0,9,4,5,5,0,4,885.0,9,4,5,5,0,4,878.0,5,2,3,3,0,3,670.0,11,5,6,6,0,5,653.0,9,4,5,5,0,4,677.0,9,4,5,5,0,4,814.0,9,4,5,5,0,4,652.0,9,4,5,5,0,4,790.0,11,5,6,6,0,4,767.0,5,2,3,3,0,3,709.0,9,4,5,5,0,4,890.0,3,1,2,2,0,2,239.0,5,2,3,3,0,3,630.0,7,3,4,4,0,4,728.0,11,5,6,6,0,5,694.0
1900,9,4,5,5,0,4,811.0,9,4,5,5,0,4,720.0,9,4,5,5,0,4,929.0,11,5,6,6,0,5,966.0,11,5,6,6,0,5,784.0,9,4,5,5,0,4,934.0,9,4,5,5,0,4,925.0,5,2,3,3,0,3,722.0,11,5,6,6,0,5,702.0,9,4,5,5,0,4,726.0,11,5,6,6,0,5,859.0,9,4,5,5,0,4,706.0,11,5,6,6,0,4,844.0,11,5,6,6,0,4,819.0,5,2,3,3,0,3,773.0,11,5,6,6,0,4,935.0,3,1,2,2,0,2,278.0,5,2,3,3,0,3,679.0,7,3,4,4,0,4,785.0,11,5,6,6,0,5,754.0
2000,9,4,5,5,0,4,864.0,9,4,5,5,0,4,764.0,9,4,5,5,0,4,977.0,13,6,7,7,0,5,1017.0,11,5,6,6,0,5,835.0,11,5,6,6,0,5,988.0,9,4,5,5,0,4,981.0,5,2,3,3,0,3,769.0,11,5,6,6,0,5,759.0,9,4,5,5,0,4,776.0,11,5,6,6,0,5,909.0,9,4,5,5,0,4,762.0,11,5,6,6,0,4,892.0,11,5,6,6,0,4,871.0,5,2,3,3,0,3,820.0,11,5,6,6,0,4,983.0,3,1,2,2,0,2,323.0,5,2,3,3,0,3,733.0,7,3,4,4,0,4,837.0,11,5,6,6,0,5,799.0
