,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
2100,1,0,1,1,0,1,461.0,7,3,4,4,0,3,807.0,3,1,2,2,0,2,471.0,5,2,3,3,0,3,705.0,7,3,4,4,0,3,835.0,5,2,3,3,0,3,477.0,5,2,3,3,0,3,343.0,5,2,3,3,0,3,481.0,7,3,4,4,0,3,489.0,7,3,4,4,0,3,442.0,3,1,2,2,0,2,494.0,9,4,5,5,0,4,703.0,3,1,2,2,0,2,452.0,5,2,3,3,0,3,477.0,5,2,3,3,0,3,663.0,3,1,2,2,0,2,295.0,3,1,2,2,0,2,230.0,7.0,3.0,4.0,4,0,3.0,452.0,1,0,1,1,0,1,234.0,5,2,3,3,0,3,748.0
2200,1,0,1,1,0,1,515.0,7,3,4,4,0,3,857.0,3,1,2,2,0,2,515.0,7,3,4,4,0,3,761.0,7,3,4,4,0,3,885.0,5,2,3,3,0,3,522.0,7,3,4,4,0,3,384.0,5,2,3,3,0,3,530.0,7,3,4,4,0,3,532.0,7,3,4,4,0,3,497.0,3,1,2,2,0,2,542.0,9,4,5,5,0,4,756.0,3,1,2,2,0,2,504.0,5,2,3,3,0,3,534.0,7,3,4,4,0,4,717.0,3,1,2,2,0,2,344.0,3,1,2,2,0,2,280.0,7.0,3.0,4.0,4,0,3.0,506.0,3,1,2,2,0,2,286.0,5,2,3,3,0,3,796.0
2300,1,0,1,1,0,1,568.0,7,3,4,4,0,3,912.0,3,1,2,2,0,2,560.0,7,3,4,4,0,3,811.0,7,3,4,4,0,3,944.0,5,2,3,3,0,3,573.0,7,3,4,4,0,3,436.0,7,3,4,4,0,3,582.0,7,3,4,4,0,3,578.0,7,3,4,4,0,3,548.0,3,1,2,2,0,2,598.0,9,4,5,5,0,4,808.0,5,2,3,3,0,3,556.0,5,2,3,3,0,3,582.0,7,3,4,4,0,4,767.0,3,1,2,2,0,2,404.0,5,2,3,3,0,3,329.0,7.0,3.0,4.0,4,0,3.0,551.0,3,1,2,2,0,2,344.0,5,2,3,3,0,3,839.0
2400,3,1,2,2,0,2,616.0,7,3,4,4,0,3,960.0,3,1,2,2,0,2,604.0,7,3,4,4,0,3,856.0,7,3,4,4,0,3,996.0,5,2,3,3,0,3,622.0,7,3,4,4,0,3,482.0,7,3,4,4,0,3,633.0,9,4,5,5,0,4,630.0,7,3,4,4,0,3,603.0,3,1,2,2,0,2,646.0,9,4,5,5,0,4,853.0,5,2,3,3,0,3,599.0,5,2,3,3,0,3,633.0,7,3,4,4,0,4,813.0,5,2,3,3,0,3,457.0,5,2,3,3,0,3,379.0,7.0,3.0,4.0,4,0,3.0,588.0,3,1,2,2,0,2,396.0,7,3,4,4,0,3,889.0
2500,3,1,2,2,0,2,660.0,7,3,4,4,0,3,1008.0,3,1,2,2,0,2,652.0,7,3,4,4,0,3,908.0,7,3,4,4,0,3,1041.0,5,2,3,3,0,3,675.0,7,3,4,4,0,3,530.0,7,3,4,4,0,3,694.0,9,4,5,5,0,4,684.0,7,3,4,4,0,3,655.0,5,2,3,3,0,3,688.0,9,4,5,5,0,4,905.0,7,3,4,4,0,3,645.0,5,2,3,3,0,3,673.0,7,3,4,4,0,4,856.0,5,2,3,3,0,3,508.0,5,2,3,3,0,3,426.0,7.0,3.0,4.0,4,0,3.0,647.0,5,2,3,3,0,3,449.0,7,3,4,4,0,3,944.0
2600,3,1,2,2,0,2,713.0,7,3,4,4,0,3,1060.0,3,1,2,2,0,2,695.0,7,3,4,4,0,3,955.0,7,3,4,4,0,3,1084.0,7,3,4,4,0,4,720.0,7,3,4,4,0,3,579.0,7,3,4,4,0,3,742.0,9,4,5,5,0,4,736.0,7,3,4,4,0,3,703.0,5,2,3,3,0,3,734.0,9,4,5,5,0,4,951.0,7,3,4,4,0,3,709.0,5,2,3,3,0,3,728.0,7,3,4,4,0,4,903.0,5,2,3,3,0,3,560.0,5,2,3,3,0,3,482.0,7.0,3.0,4.0,4,0,3.0,693.0,5,2,3,3,0,3,495.0,7,3,4,4,0,3,996.0
2700,3,1,2,2,0,2,765.0,7,3,4,4,0,3,1108.0,5,2,3,3,0,3,740.0,7,3,4,4,0,3,1003.0,7,3,4,4,0,3,1134.0,7,3,4,4,0,4,773.0,7,3,4,4,0,3,630.0,7,3,4,4,0,3,782.0,9,4,5,5,0,4,772.0,7,3,4,4,0,3,746.0,5,2,3,3,0,3,789.0,9,4,5,5,0,4,1001.0,7,3,4,4,0,3,761.0,7,3,4,4,0,3,788.0,7,3,4,4,0,4,956.0,5,2,3,3,0,3,604.0,1,0,1,1,0,1,54.0,9.0,4.0,5.0,5,0,4.0,744.0,1,0,1,1,0,1,22.0,7,3,4,4,0,3,1038.0
2800,5,2,3,3,0,3,809.0,9,4,5,5,0,4,1161.0,5,2,3,3,0,3,787.0,7,3,4,4,0,3,1056.0,7,3,4,4,0,3,1193.0,7,3,4,4,0,4,820.0,7,3,4,4,0,3,668.0,7,3,4,4,0,3,834.0,11,5,6,6,0,5,828.0,7,3,4,4,0,3,792.0,5,2,3,3,0,3,839.0,9,4,5,5,0,4,1048.0,7,3,4,4,0,3,805.0,7,3,4,4,0,3,837.0,7,3,4,4,0,4,1012.0,5,2,3,3,0,3,647.0,1,0,1,1,0,1,121.0,9.0,4.0,5.0,5,0,4.0,786.0,1,0,1,1,0,1,62.0,7,3,4,4,0,3,1079.0
2900,1,0,1,1,0,1,217.0,9,4,5,5,0,4,1216.0,5,2,3,3,0,3,830.0,7,3,4,4,0,3,1107.0,7,3,4,4,0,3,1242.0,7,3,4,4,0,4,867.0,7,3,4,4,0,3,723.0,7,3,4,4,0,3,876.0,11,5,6,6,0,5,886.0,7,3,4,4,0,3,840.0,5,2,3,3,0,3,890.0,11,5,6,6,0,5,1099.0,7,3,4,4,0,3,863.0,7,3,4,4,0,3,885.0,7,3,4,4,0,4,1067.0,5,2,3,3,0,3,700.0,1,0,1,1,0,1,173.0,9.0,4.0,5.0,5,0,4.0,838.0,1,0,1,1,0,1,107.0,7,3,4,4,0,3,1121.0
3000,1,0,1,1,0,1,266.0,9,4,5,5,0,4,1267.0,5,2,3,3,0,3,886.0,7,3,4,4,0,3,1161.0,9,4,5,5,0,4,1292.0,7,3,4,4,0,4,914.0,7,3,4,4,0,3,783.0,9,4,5,5,0,4,930.0,11,5,6,6,0,5,939.0,9,4,5,5,0,4,890.0,7,3,4,4,0,3,946.0,11,5,6,6,0,5,1148.0,9,4,5,5,0,4,908.0,7,3,4,4,0,3,929.0,7,3,4,4,0,4,1122.0,5,2,3,3,0,3,752.0,1,0,1,1,0,1,229.0,11.0,5.0,6.0,6,0,4.0,886.0,1,0,1,1,0,1,163.0,7,3,4,4,0,3,1173.0
3100,1,0,1,1,0,1,318.0,11,5,6,6,0,4,1314.0,5,2,3,3,0,3,931.0,7,3,4,4,0,3,1216.0,21,5,16,16,0,4,1345.0,7,3,4,4,0,4,960.0,19,4,15,15,0,4,836.0,9,4,5,5,0,4,975.0,11,5,6,6,0,5,992.0,9,4,5,5,0,4,938.0,7,3,4,4,0,3,1000.0,13,6,7,7,0,5,1194.0,9,4,5,5,0,4,958.0,9,4,5,5,0,4,977.0,7,3,4,4,0,4,1168.0,5,2,3,3,0,3,798.0,1,0,1,1,0,1,281.0,11.0,5.0,6.0,6,0,4.0,938.0,1,0,1,1,0,1,215.0,7,3,4,4,0,3,1217.0
3200,1,0,1,1,0,1,373.0,11,5,6,6,0,4,1357.0,5,2,3,3,0,3,981.0,7,3,4,4,0,3,1260.0,33,6,27,27,0,4,1394.0,9,4,5,5,0,5,1017.0,19,4,15,15,0,4,894.0,9,4,5,5,0,4,1032.0,11,5,6,6,0,5,1042.0,9,4,5,5,0,4,983.0,9,4,5,5,0,4,1060.0,13,6,7,7,0,5,1242.0,5,2,3,3,0,3,741.0,9,4,5,5,0,4,1027.0,7,3,4,4,0,4,1212.0,1,0,1,1,0,1,35.0,1,0,1,1,0,1,334.0,11.0,5.0,6.0,6,0,4.0,990.0,3,1,2,2,0,2,277.0,7,3,4,4,0,3,1270.0
3300,1,0,1,1,0,1,420.0,11,5,6,6,0,4,1400.0,7,3,4,4,0,3,1033.0,9,4,5,5,0,4,1315.0,33,6,27,27,0,4,1443.0,11,5,6,6,0,5,1073.0,21,5,16,16,0,4,944.0,9,4,5,5,0,4,1082.0,13,6,7,7,0,5,1092.0,9,4,5,5,0,4,1032.0,9,4,5,5,0,4,1099.0,13,6,7,7,0,5,1285.0,7,3,4,4,0,4,796.0,9,4,5,5,0,4,1074.0,9,4,5,5,0,4,1276.0,3,1,2,2,0,2,86.0,3,1,2,2,0,2,392.0,11.0,5.0,6.0,6,0,4.0,1038.0,3,1,2,2,0,2,331.0,7,3,4,4,0,3,1321.0
3400,1,0,1,1,0,1,473.0,11,5,6,6,0,4,1455.0,7,3,4,4,0,3,1085.0,9,4,5,5,0,4,1377.0,33,6,27,27,0,4,1486.0,11,5,6,6,0,5,1117.0,21,5,16,16,0,4,991.0,9,4,5,5,0,4,1136.0,13,6,7,7,0,5,1145.0,11,5,6,6,0,4,1077.0,9,4,5,5,0,4,1140.0,15,7,8,8,0,5,1335.0,9,4,5,5,0,4,841.0,9,4,5,5,0,4,1127.0,11,5,6,6,0,5,1327.0,3,1,2,2,0,2,138.0,3,1,2,2,0,2,437.0,23.0,6.0,17.0,17,0,4.0,1086.0,1,0,1,1,0,1,60.0,7,3,4,4,0,3,1371.0
3500,1,0,1,1,0,1,533.0,11,5,6,6,0,4,1504.0,19,4,15,15,0,4,1138.0,9,4,5,5,0,4,1429.0,33,6,27,27,0,4,1536.0,11,5,6,6,0,5,1169.0,21,5,16,16,0,4,1036.0,9,4,5,5,0,4,1184.0,13,6,7,7,0,5,1205.0,11,5,6,6,0,4,1121.0,9,4,5,5,0,4,1190.0,15,7,8,8,0,5,1385.0,9,4,5,5,0,4,882.0,9,4,5,5,0,4,1180.0,11,5,6,6,0,5,1380.0,3,1,2,2,0,2,184.0,3,1,2,2,0,2,481.0,23.0,6.0,17.0,17,0,4.0,1141.0,1,0,1,1,0,1,107.0,7,3,4,4,0,3,1417.0
3600,1,0,1,1,0,1,584.0,11,5,6,6,0,4,1553.0,21,5,16,16,0,4,1179.0,21,5,16,16,0,4,1468.0,33,6,27,27,0,4,1587.0,11,5,6,6,0,5,1216.0,3,1,2,2,0,2,127.0,9,4,5,5,0,4,1242.0,25,7,18,18,0,5,1257.0,11,5,6,6,0,4,1170.0,9,4,5,5,0,4,1235.0,27,8,19,19,0,5,1438.0,9,4,5,5,0,4,931.0,9,4,5,5,0,4,1229.0,11,5,6,6,0,5,1433.0,5,2,3,3,0,3,229.0,3,1,2,2,0,2,533.0,23.0,6.0,17.0,17,0,4.0,1196.0,3,1,2,2,0,2,153.0,7,3,4,4,0,3,1468.0
3700,3,1,2,2,0,2,637.0,11,5,6,6,0,4,1600.0,21,5,16,16,0,4,1236.0,21,5,16,16,0,4,1521.0,33,6,27,27,0,4,1636.0,11,5,6,6,0,5,1256.0,3,1,2,2,0,2,177.0,1,0,1,1,0,1,62.0,1,0,1,1,0,1,26.0,11,5,6,6,0,4,1227.0,9,4,5,5,0,4,1289.0,27,8,19,19,0,5,1490.0,9,4,5,5,0,4,983.0,9,4,5,5,0,4,1279.0,11,5,6,6,0,5,1485.0,1,0,1,1,0,1,12.0,3,1,2,2,0,2,176.0,23.0,6.0,17.0,17,0,4.0,1250.0,3,1,2,2,0,2,208.0,7,3,4,4,0,3,1522.0
3800,3,1,2,2,0,2,684.0,11,5,6,6,0,4,1657.0,3,1,2,2,0,2,591.0,21,5,16,16,0,4,1574.0,33,6,27,27,0,4,1686.0,11,5,6,6,0,5,1298.0,7,3,4,4,0,3,231.0,1,0,1,1,0,1,114.0,1,0,1,1,0,1,76.0,3,1,2,2,0,2,76.0,5,2,3,3,0,3,201.0,27,8,19,19,0,5,1541.0,9,4,5,5,0,4,1043.0,1,0,1,1,0,1,62.0,11,5,6,6,0,5,1534.0,1,0,1,1,0,1,66.0,5,2,3,3,0,3,234.0,35.0,7.0,28.0,28,0,5.0,1304.0,3,1,2,2,0,2,254.0,7,3,4,4,0,3,1573.0
3900,3,1,2,2,0,2,734.0,11,5,6,6,0,4,1705.0,3,1,2,2,0,2,648.0,21,5,16,16,0,4,1625.0,33,6,27,27,0,4,1735.0,11,5,6,6,0,5,1350.0,7,3,4,4,0,3,285.0,1,0,1,1,0,1,152.0,3,1,2,2,0,2,126.0,3,1,2,2,0,2,132.0,5,2,3,3,0,3,258.0,27,8,19,19,0,5,1594.0,9,4,5,5,0,4,1086.0,3,1,2,2,0,2,110.0,23,6,17,17,0,5,1585.0,1,0,1,1,0,1,112.0,5,2,3,3,0,3,285.0,35.0,7.0,28.0,28,0,5.0,1350.0,3,1,2,2,0,2,176.0,9,4,5,5,0,4,1620.0
4000,7,3,4,4,0,4,497.0,11,5,6,6,0,4,1755.0,3,1,2,2,0,2,703.0,21,5,16,16,0,4,1666.0,1,0,1,1,0,1,257.0,3,1,2,2,0,2,166.0,7,3,4,4,0,3,331.0,3,1,2,2,0,2,207.0,3,1,2,2,0,2,182.0,3,1,2,2,0,2,189.0,5,2,3,3,0,3,297.0,29,9,20,20,0,6,1642.0,9,4,5,5,0,4,1134.0,3,1,2,2,0,2,159.0,23,6,17,17,0,5,1630.0,1,0,1,1,0,1,168.0,5,2,3,3,0,3,326.0,35.0,7.0,28.0,28,0,5.0,1397.0,3,1,2,2,0,2,225.0,11,5,6,6,0,4,1671.0
4100,7,3,4,4,0,4,550.0,13,6,7,7,0,5,1808.0,5,2,3,3,0,3,751.0,21,5,16,16,0,4,1713.0,3,1,2,2,0,2,310.0,3,1,2,2,0,2,214.0,7,3,4,4,0,3,388.0,3,1,2,2,0,2,264.0,3,1,2,2,0,2,232.0,5,2,3,3,0,3,232.0,7,3,4,4,0,4,350.0,41,10,31,31,0,6,1691.0,9,4,5,5,0,4,1182.0,3,1,2,2,0,2,208.0,1,0,1,1,0,1,180.0,1,0,1,1,0,1,220.0,7,3,4,4,0,3,378.0,35.0,7.0,28.0,28,0,5.0,1443.0,3,1,2,2,0,2,278.0,11,5,6,6,0,4,1716.0
4200,7,3,4,4,0,4,612.0,3,1,2,2,0,2,95.0,5,2,3,3,0,3,804.0,21,5,16,16,0,4,1765.0,3,1,2,2,0,2,365.0,3,1,2,2,0,2,259.0,7,3,4,4,0,3,428.0,3,1,2,2,0,2,310.0,3,1,2,2,0,2,285.0,3,1,2,2,0,2,159.0,7,3,4,4,0,4,398.0,41,10,31,31,0,6,1747.0,9,4,5,5,0,4,1232.0,3,1,2,2,0,2,258.0,1,0,1,1,0,1,234.0,1,0,1,1,0,1,271.0,9,4,5,5,0,4,423.0,35.0,7.0,28.0,28,0,5.0,1493.0,5,2,3,3,0,3,325.0,11,5,6,6,0,4,1767.0
