,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
2500,43,20,23,23,0,7,2902.0,51,24,27,27,0,7,2609.0,99,48,51,51,0,10,6959.0,118,55,63,63,0,12,8743.0,60,28,32,32,0,7,3986.0,3,1,2,2,0,2,149.0,8,3,5,5,0,3,351.0,1,0,1,1,0,1,167.0,68,32,36,36,0,10,4238.0,39,18,21,21,0,7,4032.0,41,19,22,22,0,7,4262.0,56,26,30,30,0,8,3473.0,13,6,7,7,0,6,1873.0,3,1,2,2,0,2,386.0,,,,0,0,,0.0,92,44,48,48,0,12,4992.0,59,28,31,31,0,7,5808.0,56,26,30,30,0,7,2866.0,51,24,27,27,0,7,3016.0,53,26,27,27,0,9,2796.0
2600,51,24,27,27,0,7,3528.0,6,2,4,4,0,3,583.0,8,3,5,5,0,3,570.0,10,4,6,6,0,4,598.0,11,5,6,6,0,5,585.0,10,4,6,6,0,4,776.0,12,5,7,7,0,4,986.0,6,2,4,4,0,3,722.0,12,5,7,7,0,4,581.0,10,4,6,6,0,4,827.0,7,3,4,4,0,4,585.0,7,3,4,4,0,4,565.0,23,11,12,12,0,7,2480.0,14,6,8,8,0,5,971.0,9.0,4.0,5.0,5,0,5.0,604.0,1,0,1,1,0,1,615.0,19,8,11,11,0,5,790.0,68,31,37,37,0,7,3456.0,5,2,3,3,0,3,576.0,9,4,5,5,0,4,605.0
2700,63,30,33,33,0,8,4095.0,10,4,6,6,0,4,1221.0,16,7,9,9,0,5,1117.0,15,6,9,9,0,4,1202.0,23,10,13,13,0,6,1206.0,16,7,9,9,0,5,1367.0,16,7,9,9,0,4,1570.0,22,9,13,13,0,6,1296.0,19,8,11,11,0,5,1138.0,21,9,12,12,0,5,1401.0,17,8,9,9,0,6,1197.0,15,7,8,8,0,6,1183.0,6,2,4,4,0,3,435.0,24,10,14,14,0,7,1571.0,18.0,8.0,10.0,10,0,5.0,1200.0,11,4,7,7,0,4,1210.0,27,12,15,15,0,6,1405.0,74,34,40,40,0,8,4041.0,18,8,10,10,0,5,1164.0,18,8,10,10,0,6,1231.0
2800,77,37,40,40,0,8,4696.0,12,5,7,7,0,4,1812.0,20,9,11,11,0,5,1744.0,24,10,14,14,0,6,1779.0,29,13,16,16,0,7,1834.0,29,12,17,17,0,6,1942.0,27,12,15,15,0,6,2201.0,5,2,3,3,0,3,238.0,29,13,16,16,0,6,1743.0,25,11,14,14,0,5,2029.0,25,12,13,13,0,7,1812.0,18,8,10,10,0,6,1776.0,15,6,9,9,0,4,993.0,30,13,17,17,0,7,2159.0,25.0,11.0,14.0,14,0,6.0,1775.0,15,6,9,9,0,5,1777.0,33,15,18,18,0,7,2009.0,84,39,45,45,0,8,4636.0,24,10,14,14,0,6,1754.0,27,12,15,15,0,6,1835.0
2900,81,39,42,42,0,8,5233.0,3,1,2,2,0,2,241.0,22,10,12,12,0,5,2361.0,26,11,15,15,0,6,2374.0,35,16,19,19,0,8,2443.0,37,16,21,21,0,6,2579.0,33,15,18,18,0,6,2749.0,10,4,6,6,0,5,817.0,33,15,18,18,0,7,2335.0,29,13,16,16,0,6,2642.0,30,14,16,16,0,7,2362.0,3,1,2,2,0,2,603.0,25,11,14,14,0,6,1592.0,3,1,2,2,0,2,482.0,33.0,15.0,18.0,18,0,8.0,2404.0,8,3,5,5,0,4,863.0,35,16,19,19,0,7,2638.0,94,44,50,50,0,9,5229.0,30,13,17,17,0,7,2338.0,29,13,16,16,0,7,2453.0
3000,1,0,1,1,0,1,473.0,12,5,7,7,0,5,884.0,6,2,4,4,0,3,467.0,6,2,4,4,0,3,890.0,5,2,3,3,0,3,494.0,22,10,12,12,0,6,1285.0,5,2,3,3,0,3,504.0,16,7,9,9,0,5,1388.0,3,1,2,2,0,2,498.0,3,1,2,2,0,2,482.0,1,0,1,1,0,1,470.0,7,3,4,4,0,4,1220.0,39,18,21,21,0,7,2199.0,12,5,7,7,0,5,1063.0,3.0,1.0,2.0,2,0,2.0,314.0,12,5,7,7,0,5,1469.0,43,20,23,23,0,7,3298.0,3,1,2,2,0,2,273.0,15,7,8,8,0,5,1035.0,1,0,1,1,0,1,330.0
3100,9,3,6,6,0,3,1053.0,22,10,12,12,0,6,1469.0,18,8,10,10,0,5,1062.0,10,4,6,6,0,4,1491.0,17,8,9,9,0,5,1111.0,36,17,19,19,0,7,1912.0,16,7,9,9,0,5,1105.0,33,15,18,18,0,6,1964.0,13,6,7,7,0,5,1060.0,7,3,4,4,0,3,1094.0,11,5,6,6,0,4,1072.0,22,10,12,12,0,7,1830.0,47,22,25,25,0,8,2825.0,25,11,14,14,0,7,1624.0,5.0,2.0,3.0,3,0,3.0,909.0,18,8,10,10,0,6,2068.0,8,3,5,5,0,4,901.0,10,4,6,6,0,4,834.0,21,10,11,11,0,6,1618.0,7,3,4,4,0,3,948.0
3200,13,5,8,8,0,4,1632.0,32,15,17,17,0,7,2065.0,24,11,13,13,0,6,1708.0,19,8,11,11,0,5,2070.0,31,14,17,17,0,6,1719.0,48,23,25,25,0,8,2486.0,26,12,14,14,0,6,1712.0,48,22,26,26,0,7,2575.0,17,8,9,9,0,6,1694.0,18,8,10,10,0,5,1689.0,13,6,7,7,0,5,1645.0,31,14,17,17,0,8,2410.0,63,30,33,33,0,8,3424.0,31,14,17,17,0,7,2218.0,15.0,6.0,9.0,9,0,5.0,1534.0,24,11,13,13,0,6,2654.0,15,6,9,9,0,5,1488.0,18,8,10,10,0,6,1459.0,27,13,14,14,0,6,2228.0,13,6,7,7,0,5,1528.0
3300,23,10,13,13,0,5,2254.0,10,4,6,6,0,4,533.0,5,2,3,3,0,3,551.0,5,2,3,3,0,3,572.0,5,2,3,3,0,3,561.0,1,0,1,1,0,1,526.0,34,16,18,18,0,7,2306.0,10,4,6,6,0,4,546.0,8,3,5,5,0,4,376.0,31,14,17,17,0,7,2254.0,21,10,11,11,0,7,2239.0,5,2,3,3,0,3,352.0,71,34,37,37,0,8,4017.0,42,19,23,23,0,7,2832.0,29.0,13.0,16.0,16,0,7.0,2159.0,36,17,19,19,0,7,3255.0,25,11,14,14,0,6,2087.0,7,3,4,4,0,3,397.0,6,2,4,4,0,3,541.0,17,8,9,9,0,6,2119.0
3400,25,11,14,14,0,6,2833.0,22,10,12,12,0,5,1169.0,14,6,8,8,0,5,1136.0,7,3,4,4,0,4,1171.0,13,6,7,7,0,5,1177.0,12,5,7,7,0,5,1104.0,50,24,26,26,0,8,2922.0,19,8,11,11,0,6,1168.0,16,7,9,9,0,5,1010.0,47,22,25,25,0,8,2872.0,34,16,18,18,0,8,2827.0,18,8,10,10,0,5,958.0,19,8,11,11,0,5,835.0,13,6,7,7,0,6,1132.0,35.0,16.0,19.0,19,0,8.0,2760.0,6,2,4,4,0,3,420.0,29,13,16,16,0,7,2714.0,24,11,13,13,0,6,977.0,16,7,9,9,0,5,1170.0,27,13,14,14,0,7,2686.0
