,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
5300,859,241,618,618,0,14,31820.0,91,27,64,64,0,10,4089.0,776,244,532,532,0,16,31864.0,916,260,656,656,0,17,31538.0,336,103,233,233,0,12,12487.0,640,188,452,452,0,13,26313.0,687,207,480,480,0,12,25632.0,848,241,607,607,0,16,31987.0,797,253,544,544,0,15,31772.0,784,245,539,539,0,13,32122.0,715,210,505,505,0,11,28935.0,661,221,440,440,0,12,29812.0,728,228,500,500,0,14,31953.0,650,198,452,452,0,13,27354.0,641,214,427,427,0,10,28941.0,709,227,482,482,0,12,32013.0,370,114,256,256,0,11,14979.0,545,161,384,384,0,17,20886.0,354,98,256,256,0,10,12489.0,709,236,473,473,0,14,31950.0
5400,866,244,622,622,0,14,32423.0,101,32,69,69,0,10,4708.0,792,249,543,543,0,16,32466.0,928,263,665,665,0,17,32139.0,356,110,246,246,0,13,13123.0,660,195,465,465,0,13,26895.0,706,212,494,494,0,13,26254.0,854,243,611,611,0,16,32611.0,816,261,555,555,0,15,32371.0,799,251,548,548,0,13,32775.0,744,216,528,528,0,11,29494.0,671,226,445,445,0,12,30427.0,747,235,512,512,0,14,32588.0,656,199,457,457,0,13,27948.0,648,215,433,433,0,10,29499.0,724,230,494,494,0,12,32647.0,386,120,266,266,0,11,15572.0,571,170,401,401,0,18,21446.0,379,103,276,276,0,10,13082.0,725,241,484,484,0,14,32550.0
5500,873,245,628,628,0,14,32996.0,118,40,78,78,0,11,5256.0,808,254,554,554,0,16,33128.0,938,264,674,674,0,17,32757.0,368,113,255,255,0,13,13709.0,675,199,476,476,0,13,27499.0,726,220,506,506,0,13,26852.0,872,247,625,625,0,16,33214.0,833,266,567,567,0,15,32978.0,813,255,558,558,0,13,33318.0,755,219,536,536,0,12,30125.0,685,230,455,455,0,12,31045.0,765,240,525,525,0,14,33219.0,670,202,468,468,0,13,28550.0,684,220,464,464,0,10,30081.0,737,235,502,502,0,12,33284.0,404,125,279,279,0,11,16163.0,592,179,413,413,0,18,22028.0,405,107,298,298,0,10,13669.0,732,244,488,488,0,14,33168.0
5600,886,250,636,636,0,14,33588.0,131,45,86,86,0,11,5889.0,823,258,565,565,0,17,33738.0,950,266,684,684,0,17,33324.0,380,116,264,264,0,13,14272.0,711,213,498,498,0,13,28098.0,737,224,513,513,0,13,27476.0,887,251,636,636,0,16,33837.0,847,269,578,578,0,15,33634.0,821,258,563,563,0,13,33946.0,768,223,545,545,0,12,30750.0,688,231,457,457,0,12,31636.0,772,243,529,529,0,14,33832.0,685,207,478,478,0,13,29146.0,696,225,471,471,0,10,30684.0,742,237,505,505,0,12,33901.0,412,128,284,284,0,11,16746.0,603,181,422,422,0,18,22632.0,424,109,315,315,0,10,14219.0,740,247,493,493,0,14,33785.0
5700,894,254,640,640,0,14,34191.0,150,50,100,100,0,11,6499.0,833,262,571,571,0,17,34328.0,969,272,697,697,0,17,33941.0,389,120,269,269,0,13,14863.0,729,217,512,512,0,13,28669.0,751,229,522,522,0,13,28063.0,923,260,663,663,0,16,34438.0,864,273,591,591,0,15,34252.0,825,259,566,566,0,13,34532.0,782,229,553,553,0,12,31371.0,697,235,462,462,0,12,32196.0,791,250,541,541,0,15,34415.0,709,214,495,495,0,13,29773.0,718,232,486,486,0,10,31240.0,756,241,515,515,0,12,34518.0,424,133,291,291,0,11,17371.0,625,189,436,436,0,18,23240.0,438,114,324,324,0,10,14840.0,750,250,500,500,0,14,34381.0
5800,917,262,655,655,0,14,34782.0,173,57,116,116,0,11,7118.0,857,270,587,587,0,17,34969.0,984,276,708,708,0,17,34547.0,404,124,280,280,0,13,15444.0,740,220,520,520,0,13,29241.0,763,234,529,529,0,13,28637.0,938,264,674,674,0,16,35051.0,870,274,596,596,0,15,34865.0,839,263,576,576,0,13,35176.0,800,235,565,565,0,12,31949.0,719,242,477,477,0,12,32796.0,802,253,549,549,0,15,35036.0,716,216,500,500,0,13,30401.0,735,235,500,500,0,10,31797.0,774,248,526,526,0,12,35090.0,438,136,302,302,0,11,17951.0,647,193,454,454,0,18,23829.0,450,117,333,333,0,10,15446.0,757,251,506,506,0,14,35029.0
5900,930,268,662,662,0,14,35406.0,197,64,133,133,0,12,7712.0,870,274,596,596,0,17,35577.0,1001,280,721,721,0,17,35134.0,417,129,288,288,0,13,16089.0,762,228,534,534,0,13,29829.0,784,241,543,543,0,13,29248.0,959,269,690,690,0,16,35615.0,902,285,617,617,0,15,35453.0,848,265,583,583,0,13,35759.0,814,240,574,574,0,12,32568.0,740,246,494,494,0,13,33404.0,809,256,553,553,0,15,35641.0,739,224,515,515,0,13,31016.0,750,237,513,513,0,10,32366.0,790,250,540,540,0,13,35632.0,464,146,318,318,0,11,18553.0,659,197,462,462,0,18,24401.0,468,121,347,347,0,10,16092.0,764,254,510,510,0,14,35618.0
6000,953,274,679,679,0,14,36030.0,216,69,147,147,0,12,8315.0,880,278,602,602,0,17,36195.0,1014,284,730,730,0,17,35717.0,435,137,298,298,0,13,16665.0,783,233,550,550,0,13,30418.0,794,244,550,550,0,13,29850.0,976,272,704,704,0,16,36216.0,923,292,631,631,0,15,36090.0,864,271,593,593,0,13,36371.0,823,244,579,579,0,12,33207.0,758,254,504,504,0,13,33980.0,813,258,555,555,0,15,36288.0,750,229,521,521,0,13,31599.0,760,240,520,520,0,10,32947.0,809,255,554,554,0,13,36246.0,489,154,335,335,0,11,19195.0,669,200,469,469,0,18,25025.0,487,126,361,361,0,11,16713.0,782,261,521,521,0,14,36253.0
6100,962,277,685,685,0,14,36665.0,233,71,162,162,0,12,8970.0,888,282,606,606,0,17,36759.0,1025,288,737,737,0,17,36299.0,461,146,315,315,0,13,17262.0,793,236,557,557,0,13,31057.0,811,249,562,562,0,13,30482.0,985,275,710,710,0,16,36842.0,939,295,644,644,0,15,36661.0,873,274,599,599,0,13,36975.0,834,248,586,586,0,12,33793.0,763,256,507,507,0,13,34580.0,821,261,560,560,0,15,36852.0,765,234,531,531,0,13,32177.0,769,243,526,526,0,11,33547.0,818,258,560,560,0,13,36848.0,507,161,346,346,0,11,19798.0,677,203,474,474,0,18,25632.0,517,133,384,384,0,11,17291.0,791,263,528,528,0,14,36878.0
6200,988,287,701,701,0,14,37266.0,257,76,181,181,0,12,9575.0,912,287,625,625,0,17,37357.0,1040,293,747,747,0,18,36898.0,475,150,325,325,0,13,17891.0,802,239,563,563,0,13,31639.0,821,252,569,569,0,13,31069.0,995,278,717,717,0,16,37420.0,943,296,647,647,0,15,37233.0,901,282,619,619,0,13,37575.0,847,254,593,593,0,13,34375.0,786,262,524,524,0,13,35242.0,837,266,571,571,0,15,37450.0,786,241,545,545,0,13,32777.0,775,245,530,530,0,11,34169.0,847,267,580,580,0,13,37470.0,523,168,355,355,0,11,20433.0,690,207,483,483,0,18,26226.0,545,140,405,405,0,11,17907.0,807,269,538,538,0,14,37492.0
6300,1014,295,719,719,0,14,37880.0,270,80,190,190,0,13,10169.0,947,290,657,657,0,17,37978.0,1057,297,760,760,0,18,37504.0,493,156,337,337,0,13,18505.0,826,245,581,581,0,13,32249.0,832,255,577,577,0,13,31649.0,1008,283,725,725,0,16,38024.0,954,300,654,654,0,15,37841.0,908,285,623,623,0,13,38166.0,861,260,601,601,0,13,34958.0,792,264,528,528,0,13,35825.0,844,269,575,575,0,15,38064.0,801,246,555,555,0,13,33414.0,795,252,543,543,0,11,34784.0,868,274,594,594,0,13,38078.0,533,171,362,362,0,12,21009.0,706,213,493,493,0,18,26836.0,592,146,446,446,0,11,18497.0,815,272,543,543,0,14,38088.0
6400,1027,299,728,728,0,14,38508.0,283,85,198,198,0,13,10772.0,970,299,671,671,0,17,38596.0,1071,299,772,772,0,18,38089.0,505,160,345,345,0,14,19107.0,846,253,593,593,0,13,32848.0,845,258,587,587,0,13,32243.0,1016,286,730,730,0,16,38621.0,968,305,663,663,0,15,38450.0,924,291,633,633,0,13,38766.0,874,266,608,608,0,13,35549.0,831,272,559,559,0,13,36422.0,856,273,583,583,0,15,38698.0,824,254,570,570,0,13,34006.0,819,262,557,557,0,11,35372.0,880,279,601,601,0,13,38667.0,540,173,367,367,0,12,21609.0,727,219,508,508,0,18,27432.0,603,147,456,456,0,11,19084.0,831,276,555,555,0,14,38683.0
6500,1047,305,742,742,0,14,39128.0,306,92,214,214,0,13,11365.0,979,303,676,676,0,17,39193.0,1090,305,785,785,0,18,38694.0,519,164,355,355,0,14,19729.0,857,258,599,599,0,13,33448.0,855,262,593,593,0,13,32825.0,1040,294,746,746,0,17,39240.0,977,308,669,669,0,15,39061.0,934,293,641,641,0,13,39360.0,890,269,621,621,0,13,36123.0,847,277,570,570,0,14,37001.0,868,277,591,591,0,15,39310.0,832,257,575,575,0,13,34587.0,832,268,564,564,0,11,36001.0,891,282,609,609,0,13,39289.0,547,175,372,372,0,12,22242.0,749,226,523,523,0,18,28062.0,617,151,466,466,0,11,19618.0,846,283,563,563,0,15,39296.0
