,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
1100,3,1,2,2,0,2,54.0,3,1,2,2,0,2,114.0,7,3,4,4,0,4,540.0,3,1,2,2,0,2,115.0,1,0,1,1,0,1,42.0,7,3,4,4,0,3,548.0,7,3,4,4,0,4,541.0,9,4,5,5,0,4,557.0,5,2,3,3,0,3,553.0,1,0,1,1,0,1,29.0,7,3,4,4,0,3,520.0,9,4,5,5,0,4,556.0,11,5,6,6,0,4,566.0,9,4,5,5,0,4,542.0,11,5,6,6,0,5,539.0,5,2,3,3,0,3,254.0,3,1,2,2,0,2,102.0,7,3,4,4,0,4,523.0,11,5,6,6,0,4,550.0,5,2,3,3,0,3,161.0
1200,3,1,2,2,0,2,106.0,7,3,4,4,0,3,159.0,3,1,2,2,0,2,95.0,3,1,2,2,0,2,162.0,1,0,1,1,0,1,93.0,7,3,4,4,0,3,599.0,7,3,4,4,0,4,591.0,3,1,2,2,0,2,85.0,5,2,3,3,0,3,603.0,3,1,2,2,0,2,78.0,1,0,1,1,0,1,65.0,3,1,2,2,0,2,60.0,3,1,2,2,0,2,56.0,3,1,2,2,0,2,87.0,1,0,1,1,0,1,41.0,5,2,3,3,0,3,311.0,5,2,3,3,0,3,151.0,7,3,4,4,0,4,557.0,11,5,6,6,0,4,603.0,5,2,3,3,0,3,219.0
1300,3,1,2,2,0,2,161.0,7,3,4,4,0,3,210.0,3,1,2,2,0,2,156.0,3,1,2,2,0,2,218.0,3,1,2,2,0,2,133.0,3,1,2,2,0,2,70.0,9,4,5,5,0,4,642.0,3,1,2,2,0,2,139.0,5,2,3,3,0,3,657.0,3,1,2,2,0,2,124.0,3,1,2,2,0,2,121.0,3,1,2,2,0,2,108.0,5,2,3,3,0,3,111.0,3,1,2,2,0,2,131.0,1,0,1,1,0,1,90.0,5,2,3,3,0,3,363.0,5,2,3,3,0,3,199.0,3,1,2,2,0,2,72.0,11,5,6,6,0,4,640.0,7,3,4,4,0,3,266.0
1400,5,2,3,3,0,3,214.0,7,3,4,4,0,3,257.0,5,2,3,3,0,3,200.0,5,2,3,3,0,3,262.0,3,1,2,2,0,2,174.0,5,2,3,3,0,3,128.0,9,4,5,5,0,4,689.0,3,1,2,2,0,2,191.0,5,2,3,3,0,3,706.0,7,3,4,4,0,3,180.0,3,1,2,2,0,2,168.0,5,2,3,3,0,3,158.0,5,2,3,3,0,3,167.0,7,3,4,4,0,3,186.0,3,1,2,2,0,2,135.0,7,3,4,4,0,3,407.0,5,2,3,3,0,3,248.0,3,1,2,2,0,2,121.0,13,6,7,7,0,4,690.0,9,4,5,5,0,4,321.0
1500,5,2,3,3,0,3,267.0,9,4,5,5,0,4,312.0,7,3,4,4,0,3,244.0,5,2,3,3,0,3,310.0,3,1,2,2,0,2,219.0,5,2,3,3,0,3,178.0,9,4,5,5,0,4,738.0,5,2,3,3,0,3,247.0,5,2,3,3,0,3,757.0,7,3,4,4,0,3,237.0,3,1,2,2,0,2,219.0,7,3,4,4,0,3,201.0,5,2,3,3,0,3,213.0,7,3,4,4,0,3,239.0,3,1,2,2,0,2,187.0,7,3,4,4,0,3,467.0,7,3,4,4,0,4,297.0,3,1,2,2,0,2,176.0,13,6,7,7,0,4,741.0,9,4,5,5,0,4,372.0
1600,7,3,4,4,0,4,326.0,11,5,6,6,0,4,364.0,7,3,4,4,0,3,294.0,5,2,3,3,0,3,364.0,3,1,2,2,0,2,267.0,7,3,4,4,0,3,228.0,9,4,5,5,0,4,783.0,5,2,3,3,0,3,294.0,7,3,4,4,0,4,811.0,7,3,4,4,0,3,291.0,3,1,2,2,0,2,270.0,7,3,4,4,0,3,247.0,5,2,3,3,0,3,268.0,7,3,4,4,0,3,291.0,3,1,2,2,0,2,234.0,7,3,4,4,0,3,513.0,7,3,4,4,0,4,345.0,3,1,2,2,0,2,218.0,13,6,7,7,0,4,788.0,9,4,5,5,0,4,425.0
1700,9,4,5,5,0,4,377.0,11,5,6,6,0,4,412.0,7,3,4,4,0,3,347.0,5,2,3,3,0,3,411.0,5,2,3,3,0,3,322.0,7,3,4,4,0,3,279.0,11,5,6,6,0,5,831.0,7,3,4,4,0,4,337.0,7,3,4,4,0,4,854.0,7,3,4,4,0,3,340.0,3,1,2,2,0,2,318.0,7,3,4,4,0,3,301.0,5,2,3,3,0,3,307.0,9,4,5,5,0,4,340.0,5,2,3,3,0,3,290.0,7,3,4,4,0,3,559.0,7,3,4,4,0,4,399.0,3,1,2,2,0,2,264.0,13,6,7,7,0,4,838.0,9,4,5,5,0,4,477.0
1800,9,4,5,5,0,4,422.0,13,6,7,7,0,4,469.0,9,4,5,5,0,4,400.0,5,2,3,3,0,3,455.0,7,3,4,4,0,4,375.0,7,3,4,4,0,3,331.0,13,6,7,7,0,5,885.0,7,3,4,4,0,4,390.0,7,3,4,4,0,4,899.0,7,3,4,4,0,3,390.0,3,1,2,2,0,2,362.0,7,3,4,4,0,3,358.0,7,3,4,4,0,4,353.0,9,4,5,5,0,4,387.0,5,2,3,3,0,3,334.0,11,5,6,6,0,4,608.0,7,3,4,4,0,4,437.0,3,1,2,2,0,2,315.0,15,7,8,8,0,5,887.0,9,4,5,5,0,4,522.0
1900,11,5,6,6,0,4,473.0,13,6,7,7,0,4,514.0,9,4,5,5,0,4,455.0,5,2,3,3,0,3,507.0,7,3,4,4,0,4,429.0,9,4,5,5,0,4,372.0,7,3,4,4,0,4,318.0,7,3,4,4,0,4,440.0,7,3,4,4,0,4,941.0,7,3,4,4,0,3,441.0,5,2,3,3,0,3,409.0,11,5,6,6,0,4,415.0,7,3,4,4,0,4,402.0,13,6,7,7,0,4,440.0,5,2,3,3,0,3,381.0,13,6,7,7,0,4,656.0,7,3,4,4,0,4,492.0,3,1,2,2,0,2,362.0,15,7,8,8,0,5,932.0,11,5,6,6,0,4,580.0
2000,11,5,6,6,0,4,534.0,15,7,8,8,0,4,568.0,11,5,6,6,0,4,501.0,7,3,4,4,0,4,560.0,7,3,4,4,0,4,487.0,9,4,5,5,0,4,429.0,7,3,4,4,0,4,365.0,7,3,4,4,0,4,489.0,7,3,4,4,0,4,991.0,7,3,4,4,0,3,502.0,5,2,3,3,0,3,462.0,11,5,6,6,0,4,465.0,9,4,5,5,0,4,454.0,15,7,8,8,0,4,487.0,5,2,3,3,0,3,431.0,13,6,7,7,0,4,706.0,9,4,5,5,0,5,531.0,3,1,2,2,0,2,410.0,17,8,9,9,0,5,991.0,13,6,7,7,0,5,630.0
2100,13,6,7,7,0,4,589.0,15,7,8,8,0,4,616.0,11,5,6,6,0,4,549.0,7,3,4,4,0,4,604.0,11,5,6,6,0,5,535.0,11,5,6,6,0,4,475.0,7,3,4,4,0,4,404.0,7,3,4,4,0,4,544.0,9,4,5,5,0,5,1033.0,7,3,4,4,0,3,558.0,7,3,4,4,0,3,515.0,11,5,6,6,0,4,519.0,9,4,5,5,0,4,504.0,17,8,9,9,0,5,548.0,5,2,3,3,0,3,477.0,13,6,7,7,0,4,746.0,9,4,5,5,0,5,594.0,3,1,2,2,0,2,475.0,17,8,9,9,0,5,1044.0,13,6,7,7,0,5,674.0
2200,13,6,7,7,0,4,640.0,15,7,8,8,0,4,667.0,13,6,7,7,0,4,594.0,7,3,4,4,0,4,659.0,11,5,6,6,0,5,580.0,11,5,6,6,0,4,531.0,7,3,4,4,0,4,457.0,7,3,4,4,0,4,598.0,9,4,5,5,0,5,1077.0,7,3,4,4,0,3,607.0,7,3,4,4,0,3,570.0,11,5,6,6,0,4,568.0,9,4,5,5,0,4,549.0,17,8,9,9,0,5,595.0,5,2,3,3,0,3,524.0,15,7,8,8,0,5,800.0,9,4,5,5,0,5,639.0,5,2,3,3,0,3,530.0,19,9,10,10,0,5,1094.0,17,8,9,9,0,5,723.0
