,n_nodes_000,n_branches_000,n_leaves_000,n_active_leaves_000,n_inactive_leaves_000,height_000,total_observed_weight_000,n_nodes_001,n_branches_001,n_leaves_001,n_active_leaves_001,n_inactive_leaves_001,height_001,total_observed_weight_001,n_nodes_002,n_branches_002,n_leaves_002,n_active_leaves_002,n_inactive_leaves_002,height_002,total_observed_weight_002,n_nodes_003,n_branches_003,n_leaves_003,n_active_leaves_003,n_inactive_leaves_003,height_003,total_observed_weight_003,n_nodes_004,n_branches_004,n_leaves_004,n_active_leaves_004,n_inactive_leaves_004,height_004,total_observed_weight_004,n_nodes_005,n_branches_005,n_leaves_005,n_active_leaves_005,n_inactive_leaves_005,height_005,total_observed_weight_005,n_nodes_006,n_branches_006,n_leaves_006,n_active_leaves_006,n_inactive_leaves_006,height_006,total_observed_weight_006,n_nodes_007,n_branches_007,n_leaves_007,n_active_leaves_007,n_inactive_leaves_007,height_007,total_observed_weight_007,n_nodes_008,n_branches_008,n_leaves_008,n_active_leaves_008,n_inactive_leaves_008,height_008,total_observed_weight_008,n_nodes_009,n_branches_009,n_leaves_009,n_active_leaves_009,n_inactive_leaves_009,height_009,total_observed_weight_009,n_nodes_010,n_branches_010,n_leaves_010,n_active_leaves_010,n_inactive_leaves_010,height_010,total_observed_weight_010,n_nodes_011,n_branches_011,n_leaves_011,n_active_leaves_011,n_inactive_leaves_011,height_011,total_observed_weight_011,n_nodes_012,n_branches_012,n_leaves_012,n_active_leaves_012,n_inactive_leaves_012,height_012,total_observed_weight_012,n_nodes_013,n_branches_013,n_leaves_013,n_active_leaves_013,n_inactive_leaves_013,height_013,total_observed_weight_013,n_nodes_014,n_branches_014,n_leaves_014,n_active_leaves_014,n_inactive_leaves_014,height_014,total_observed_weight_014,n_nodes_015,n_branches_015,n_leaves_015,n_active_leaves_015,n_inactive_leaves_015,height_015,total_observed_weight_015,n_nodes_016,n_branches_016,n_leaves_016,n_active_leaves_016,n_inactive_leaves_016,height_016,total_observed_weight_016,n_nodes_017,n_branches_017,n_leaves_017,n_active_leaves_017,n_inactive_leaves_017,height_017,total_observed_weight_017,n_nodes_018,n_branches_018,n_leaves_018,n_active_leaves_018,n_inactive_leaves_018,height_018,total_observed_weight_018,n_nodes_019,n_branches_019,n_leaves_019,n_active_leaves_019,n_inactive_leaves_019,height_019,total_observed_weight_019
16800,3,1,2,2,0,2,123.0,5,2,3,3,0,3,156.0,5,2,3,3,0,3,148.0,5,2,3,3,0,3,216.0,3,1,2,2,0,2,122.0,5.0,2.0,3.0,3,0,3.0,217.0,3,1,2,2,0,2,197.0,3,1,2,2,0,2,296.0,3,1,2,2,0,2,212.0,5,2,3,3,0,3,149.0,3,1,2,2,0,2,147.0,3.0,1.0,2.0,2,0,2.0,60.0,3,1,2,2,0,2,156.0,3,1,2,2,0,2,220.0,3.0,1.0,2.0,2,0,2.0,91.0,3,1,2,2,0,2,116.0,3,1,2,2,0,2,170.0,3,1,2,2,0,2,175.0,3,1,2,2,0,2,155.0,5,2,3,3,0,3,148.0
16900,5,2,3,3,0,3,172.0,5,2,3,3,0,3,218.0,7,3,4,4,0,4,198.0,5,2,3,3,0,3,269.0,5,2,3,3,0,3,178.0,5.0,2.0,3.0,3,0,3.0,261.0,5,2,3,3,0,3,257.0,5,2,3,3,0,3,340.0,5,2,3,3,0,3,265.0,5,2,3,3,0,3,200.0,3,1,2,2,0,2,200.0,1.0,0.0,1.0,1,0,1.0,3.0,3,1,2,2,0,2,203.0,3,1,2,2,0,2,268.0,5.0,2.0,3.0,3,0,3.0,145.0,5,2,3,3,0,3,161.0,5,2,3,3,0,3,228.0,3,1,2,2,0,2,222.0,3,1,2,2,0,2,197.0,7,3,4,4,0,3,203.0
17000,1,0,1,1,0,1,24.0,1,0,1,1,0,1,39.0,1,0,1,1,0,1,41.0,1,0,1,1,0,1,42.0,1,0,1,1,0,1,21.0,1.0,0.0,1.0,1,0,1.0,38.0,1,0,1,1,0,1,2.0,5,2,3,3,0,3,394.0,5,2,3,3,0,3,307.0,1,0,1,1,0,1,40.0,5,2,3,3,0,3,256.0,3.0,1.0,2.0,2,0,2.0,58.0,1,0,1,1,0,1,37.0,1,0,1,1,0,1,36.0,1.0,0.0,1.0,1,0,1.0,40.0,1,0,1,1,0,1,36.0,1,0,1,1,0,1,36.0,1,0,1,1,0,1,36.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,39.0
17100,1,0,1,1,0,1,73.0,3,1,2,2,0,2,93.0,3,1,2,2,0,2,92.0,3,1,2,2,0,2,89.0,1,0,1,1,0,1,64.0,3.0,1.0,2.0,2,0,2.0,90.0,3,1,2,2,0,2,60.0,1,0,1,1,0,1,22.0,1,0,1,1,0,1,86.0,3,1,2,2,0,2,94.0,3,1,2,2,0,2,56.0,3.0,1.0,2.0,2,0,2.0,103.0,3,1,2,2,0,2,86.0,3,1,2,2,0,2,86.0,3.0,1.0,2.0,2,0,2.0,100.0,1,0,1,1,0,1,89.0,1,0,1,1,0,1,85.0,1,0,1,1,0,1,38.0,3,1,2,2,0,2,98.0,1,0,1,1,0,1,89.0
17200,3,1,2,2,0,2,123.0,1,0,1,1,0,1,39.0,5,2,3,3,0,3,136.0,3,1,2,2,0,2,141.0,1,0,1,1,0,1,120.0,3.0,1.0,2.0,2,0,2.0,124.0,3,1,2,2,0,2,110.0,1,0,1,1,0,1,82.0,3,1,2,2,0,2,134.0,3,1,2,2,0,2,134.0,3,1,2,2,0,2,111.0,3.0,1.0,2.0,2,0,2.0,146.0,5,2,3,3,0,3,141.0,3,1,2,2,0,2,135.0,3.0,1.0,2.0,2,0,2.0,147.0,3,1,2,2,0,2,137.0,3,1,2,2,0,2,131.0,3,1,2,2,0,2,82.0,3,1,2,2,0,2,142.0,3,1,2,2,0,2,137.0
17300,5,2,3,3,0,3,165.0,3,1,2,2,0,2,83.0,1,0,1,1,0,1,28.0,1,0,1,1,0,1,21.0,3,1,2,2,0,2,175.0,3.0,1.0,2.0,2,0,2.0,174.0,7,3,4,4,0,3,163.0,1,0,1,1,0,1,136.0,1,0,1,1,0,1,49.0,1,0,1,1,0,1,21.0,5,2,3,3,0,3,162.0,3.0,1.0,2.0,2,0,2.0,182.0,5,2,3,3,0,3,189.0,1,0,1,1,0,1,27.0,1.0,0.0,1.0,1,0,1.0,26.0,1,0,1,1,0,1,30.0,1,0,1,1,0,1,20.0,3,1,2,2,0,2,135.0,1,0,1,1,0,1,31.0,3,1,2,2,0,2,90.0
17400,5,2,3,3,0,3,210.0,3,1,2,2,0,2,130.0,3,1,2,2,0,2,76.0,3,1,2,2,0,2,76.0,3,1,2,2,0,2,223.0,3.0,1.0,2.0,2,0,2.0,223.0,5,2,3,3,0,3,129.0,3,1,2,2,0,2,183.0,3,1,2,2,0,2,93.0,1,0,1,1,0,1,29.0,5,2,3,3,0,3,213.0,3.0,1.0,2.0,2,0,2.0,235.0,7,3,4,4,0,4,239.0,3,1,2,2,0,2,70.0,1.0,0.0,1.0,1,0,1.0,72.0,1,0,1,1,0,1,32.0,1,0,1,1,0,1,79.0,3,1,2,2,0,2,185.0,1,0,1,1,0,1,81.0,3,1,2,2,0,2,138.0
17500,5,2,3,3,0,3,192.0,5,2,3,3,0,3,183.0,3,1,2,2,0,2,128.0,5,2,3,3,0,3,129.0,3,1,2,2,0,2,193.0,3.0,1.0,2.0,2,0,2.0,158.0,5,2,3,3,0,3,179.0,3,1,2,2,0,2,224.0,3,1,2,2,0,2,139.0,3,1,2,2,0,2,84.0,7,3,4,4,0,4,267.0,5.0,2.0,3.0,3,0,3.0,287.0,7,3,4,4,0,4,284.0,3,1,2,2,0,2,123.0,3.0,1.0,2.0,2,0,2.0,120.0,1,0,1,1,0,1,73.0,3,1,2,2,0,2,128.0,3,1,2,2,0,2,240.0,1,0,1,1,0,1,132.0,5,2,3,3,0,3,180.0
17600,7,3,4,4,0,4,250.0,7,3,4,4,0,4,241.0,5,2,3,3,0,3,170.0,5,2,3,3,0,3,182.0,5,2,3,3,0,3,236.0,5.0,2.0,3.0,3,0,3.0,204.0,7,3,4,4,0,4,236.0,3,1,2,2,0,2,278.0,7,3,4,4,0,3,194.0,5,2,3,3,0,3,137.0,7,3,4,4,0,4,312.0,5.0,2.0,3.0,3,0,3.0,340.0,7,3,4,4,0,4,330.0,3,1,2,2,0,2,177.0,3.0,1.0,2.0,2,0,2.0,183.0,1,0,1,1,0,1,120.0,3,1,2,2,0,2,179.0,1,0,1,1,0,1,44.0,1,0,1,1,0,1,173.0,5,2,3,3,0,3,221.0
17700,9,4,5,5,0,4,301.0,7,3,4,4,0,4,294.0,5,2,3,3,0,3,217.0,7,3,4,4,0,4,227.0,7,3,4,4,0,4,282.0,7.0,3.0,4.0,4,0,3.0,258.0,9,4,5,5,0,5,290.0,5,2,3,3,0,3,325.0,9,4,5,5,0,4,246.0,5,2,3,3,0,3,186.0,7,3,4,4,0,4,354.0,5.0,2.0,3.0,3,0,3.0,402.0,7,3,4,4,0,4,378.0,5,2,3,3,0,3,232.0,5.0,2.0,3.0,3,0,3.0,241.0,3,1,2,2,0,2,173.0,5,2,3,3,0,3,228.0,3,1,2,2,0,2,99.0,1,0,1,1,0,1,211.0,5,2,3,3,0,3,275.0
